date_time,o3,m_PM25_CF1,m_PM25_b,lat,temp_C
2025-06-02 23:30:00,1,1,1,1,1
2025-06-03 00:30:00,1,1,1,1,1
2025-06-03 01:30:00,1,1,1,1,1
2025-06-03 02:30:00,1,1,1,1,1
2025-06-03 03:30:00,1,1,1,1,1
2025-06-03 04:30:00,1,1,1,1,1
2025-06-03 05:30:00,1,1,1,1,1
2025-06-03 06:30:00,1,1,1,1,1
2025-06-03 07:30:00,1,1,1,1,1
2025-06-03 08:30:00,1,1,1,1,1
2025-06-03 09:30:00,1,1,1,1,1
2025-06-03 10:30:00,1,1,1,1,1
2025-06-03 11:30:00,1,1,1,1,1
2025-06-03 12:30:00,1,1,1,1,1
2025-06-03 13:30:00,1,1,1,1,1
2025-06-03 14:30:00,1,1,1,1,1
2025-06-03 15:30:00,1,1,1,1,1
2025-06-03 16:30:00,1,1,1,1,1
2025-06-03 17:30:00,1,1,1,1,1
2025-06-03 18:30:00,1,1,1,1,1
2025-06-03 19:30:00,1,1,1,1,1
2025-06-03 20:30:00,1,1,1,1,1
2025-06-03 21:30:00,1,1,1,1,1
2025-06-03 22:30:00,1,1,1,1,1
2025-06-03 23:30:00,1,1,1,1,1
2025-06-04 00:30:00,1,1,1,1,1
2025-06-04 01:30:00,1,1,1,1,1
2025-06-04 02:30:00,1,1,1,1,1
2025-06-04 03:30:00,1,1,1,1,1
2025-06-04 04:30:00,1,1,1,1,1
2025-06-04 05:30:00,1,1,1,1,1
2025-06-04 06:30:00,1,1,1,1,1
2025-06-04 07:30:00,1,1,1,1,1
2025-06-04 08:30:00,1,1,1,1,1
2025-06-04 09:30:00,1,1,1,1,1
2025-06-04 10:30:00,1,1,1,1,1
2025-06-04 11:30:00,1,1,1,1,1
2025-06-04 12:30:00,1,1,1,1,1
2025-06-04 13:30:00,1,1,1,1,1
2025-06-04 14:30:00,1,1,1,1,1
2025-06-04 15:30:00,1,1,1,1,1
2025-06-04 16:30:00,1,1,1,1,1
2025-06-04 17:30:00,1,1,1,1,1
2025-06-04 18:30:00,1,1,1,1,1
2025-06-04 19:30:00,1,1,1,1,1
2025-06-04 20:30:00,1,1,1,1,1
2025-06-04 21:30:00,1,1,1,1,1
2025-06-04 22:30:00,1,1,1,1,1
2025-06-04 23:30:00,1,1,1,1,1
2025-06-05 00:30:00,1,1,1,1,1
2025-06-05 01:30:00,1,1,1,1,1
2025-06-05 02:30:00,1,1,1,1,1
2025-06-05 03:30:00,1,1,1,1,1
2025-06-05 04:30:00,1,1,1,1,1
2025-06-05 05:30:00,1,1,1,1,1
2025-06-05 06:30:00,1,1,1,1,1
2025-06-05 07:30:00,1,1,1,1,1
2025-06-05 08:30:00,1,1,1,1,1
2025-06-05 09:30:00,1,1,1,1,1
2025-06-05 10:30:00,1,1,1,1,1
2025-06-05 11:30:00,1,1,1,1,1
2025-06-05 12:30:00,1,1,1,1,1
2025-06-05 13:30:00,1,1,1,1,1
2025-06-05 14:30:00,1,1,1,1,1
2025-06-05 15:30:00,1,1,1,1,1
2025-06-05 16:30:00,1,1,1,1,1
2025-06-05 17:30:00,1,1,1,1,1
2025-06-05 18:30:00,1,1,1,1,1
2025-06-05 19:30:00,1,1,1,1,1
2025-06-05 20:30:00,1,1,1,1,1
2025-06-05 21:30:00,1,1,1,1,1
2025-06-05 22:30:00,1,1,1,1,1
2025-06-05 23:30:00,1,1,1,1,1
2025-06-06 00:30:00,1,1,1,1,1
2025-06-06 01:30:00,1,1,1,1,1
2025-06-06 02:30:00,1,1,1,1,1
2025-06-06 03:30:00,1,1,1,1,1
2025-06-06 04:30:00,1,1,1,1,1
2025-06-06 05:30:00,1,1,1,1,1
2025-06-06 06:30:00,1,1,1,1,1
2025-06-06 07:30:00,1,1,1,1,1
2025-06-06 08:30:00,1,1,1,1,1
