date_time,unixtime,m_PM25_b,m_PM1_b,m_PM10_b,tempC_sen5x,rh_sen5x,temp_C,rh,lat,lon,reference,dew_point,temp_minus_dew_point,pm_rh_interaction,pm_calibrated_clarityremake,residual,z_residual,pm_calibrated_twovar
2023-06-07 15:30:00,1686177301.0,7.4975,7.1525,7.4975,26.525,42.975,23.35,51.575,36.785435,-119.7731685,12.2,12.914012064471384,13.610987935528614,322.2050625,10.085637719276109,-2.1152571979111094,-0.45836918367467394,10.08474280208889
2023-06-07 16:30:00,1686180301.0,8.348333333333334,7.96,8.348333333333334,25.55,45.56666666666666,23.23333333333333,52.36666666666667,36.78545716666667,-119.77310566666668,8.7,12.92786487934395,12.62213512065605,380.40572222222227,10.685050994242374,2.1018030193036203,0.40248073145435187,10.80180301930362
2023-06-07 17:30:00,1686183901.0,8.34,7.95,8.34,27.883333333333336,40.75,24.46666666666667,49.083333333333336,36.785353666666666,-119.7731565,7.5,13.319645067088473,14.563688266244863,339.855,11.343393252098208,3.6303459374328284,0.7145099588225321,11.130345937432828
2023-06-07 18:30:00,1686187501.0,7.891666666666667,7.523333333333333,7.891666666666667,26.183333333333334,43.36666666666667,23.5,50.95,36.785328166666666,-119.77319333333332,9.7,12.744523865315513,13.438809468017821,342.23527777777775,10.470962996819607,0.7735944456159594,0.1313467710557857,10.473594445615959
2023-06-07 19:30:00,1686191101.0,6.758333333333333,6.4433333333333325,6.758333333333333,24.433333333333334,46.73333333333333,23.016666666666666,51.583333333333336,36.7853755,-119.77317183333334,8.5,12.297890166101935,12.135443167231399,315.8394444444444,8.843243220005183,0.5408811363372816,0.0838418215831271,9.040881136337282
2023-06-07 20:30:00,1686194701.0,7.098333333333334,6.766666666666667,7.098333333333334,23.55,49.21666666666667,22.683333333333334,52.78333333333333,36.78543916666667,-119.77309166666667,7.0,12.278689640038532,11.271310359961468,349.3563055555556,8.930285367699664,2.2260333127727634,0.42784049206502667,9.226033312772763
2023-06-07 21:30:00,1686198301.0,6.59,6.28,6.59,22.816666666666663,51.0,22.21666666666667,54.05,36.785363,-119.77317416666666,4.5,12.146226389549293,10.67044027711737,336.09,8.240538777583765,4.064279301716349,0.8030909798594674,8.564279301716349
2023-06-07 22:30:00,1686201901.0,6.9433333333333325,6.625,6.9433333333333325,22.55,52.21666666666667,22.1,54.76666666666667,36.78536483333333,-119.77328,9.5,12.258950951323909,10.291049048676092,362.5577222222222,8.469496684557276,-0.6477738229072543,-0.15880435088703732,8.852226177092746
2023-06-07 23:30:00,1686205501.0,7.051666666666667,6.726666666666667,7.051666666666667,22.38333333333333,53.05,21.933333333333334,55.68333333333334,36.785349333333336,-119.77316916666666,5.5,12.345931111627669,10.03740222170566,374.09091666666666,8.485620806398732,3.408273934172941,0.669177273180905,8.908273934172941
2023-06-08 00:30:00,1686209101.0,6.923333333333333,6.6000000000000005,6.923333333333333,22.21666666666667,53.38333333333333,21.866666666666664,55.88333333333333,36.785404166666666,-119.7731985,7.8,12.28697179057607,9.929694876090599,369.59061111111106,8.32691655796324,0.9493944336399496,0.1672337152716524,8.74939443363995
2023-06-08 01:30:00,1686212701.0,7.023333333333333,6.695,7.023333333333333,21.933333333333334,55.26666666666667,21.4,58.48333333333333,36.78536416666667,-119.77315383333332,6.3,12.552413731026201,9.380919602307133,388.15622222222225,8.230463242584525,2.4231026691807545,0.4680692604487039,8.723102669180754
2023-06-08 02:30:00,1686216301.0,3.686666666666667,3.516666666666667,3.686666666666667,20.716666666666665,57.78333333333333,19.8,62.68333333333334,36.78536366666667,-119.77315383333332,2.7,12.095456076878655,8.62121058978801,213.0278888888889,5.141487531715368,2.3229618491801203,0.44762700637640274,5.0229618491801205
2023-06-08 03:30:00,1686219901.0,2.6833333333333336,2.5583333333333336,2.6833333333333336,19.78333333333333,60.7,19.116666666666667,65.01666666666667,36.78537883333333,-119.773139,4.2,11.967831604515572,7.815501728817759,162.87833333333336,4.234147349901482,-0.44094082134332435,-0.11658248004076564,3.759059178656676
2023-06-08 04:30:00,1686223501.0,2.235,2.13,2.235,18.916666666666668,61.95,18.116666666666667,66.93333333333334,36.78539533333333,-119.77314116666666,7.5,11.459870086480702,7.456796580185966,138.45825,3.8624944744220393,-4.3019753811919434,-0.9047550699382826,3.1980246188080566
2023-06-08 05:30:00,1686227101.0,2.4250000000000003,2.31,2.4250000000000003,18.15,63.15,17.566666666666666,67.51666666666667,36.78535466666667,-119.773135,4.1,11.025098109303016,7.124901890696982,153.13875000000002,3.9920642443768246,-0.7853589264464902,-0.18689029668910995,3.3146410735535095
2023-06-08 06:30:00,1686230701.0,2.263333333333333,2.158333333333333,2.263333333333333,17.71666666666667,64.10000000000001,17.066666666666666,68.83333333333333,36.785319,-119.77319333333332,2.2,10.839664801109762,6.877001865556906,145.07966666666667,3.8651029700537194,0.8773686133650918,0.15253071885305688,3.077368613365092
2023-06-08 07:30:00,1686234301.0,2.3866666666666667,2.2783333333333333,2.3866666666666667,17.900000000000002,64.06666666666666,17.3,68.63333333333333,36.78537666666667,-119.77311316666668,2.5,11.005613296906526,6.894386703093476,152.90577777777779,3.9592696346318217,0.7099565382058093,0.11835604188161251,3.2099565382058093
2023-06-08 08:30:00,1686237901.0,2.583333333333333,2.4616666666666664,2.583333333333333,19.633333333333336,59.78333333333333,18.566666666666663,65.8,36.78534333333334,-119.773192,2.4,11.595939367809498,8.037393965523838,154.44027777777777,4.164298959998221,1.3176487229432037,0.2424073332338794,3.7176487229432036
