date_time,pm_calibrated_clarityremake,pm_calibrated_twovar,reference
2023-06-07 15:30:00,7.482693841076005,7.265789554322835,12.2
2023-06-07 16:30:00,7.700159775292713,7.503954273782362,8.7
2023-06-07 17:30:00,8.151819637641285,7.816497679856912,7.5
2023-06-07 18:30:00,7.516151017599476,7.298033749432893,9.7
2023-06-07 19:30:00,6.784597257019405,6.682251571018921,8.5
2023-06-07 20:30:00,6.737676378012097,6.668362382488475,7.0
2023-06-07 21:30:00,6.4644771983240235,6.434870480969067,4.5
2023-06-07 22:30:00,6.503546878014596,6.485847261951854,9.5
2023-06-07 23:30:00,6.521696094007616,6.5162114432039004,5.5
2023-06-08 00:30:00,6.378199698566479,6.380543969622048,7.8
2023-06-08 01:30:00,6.149879090010405,6.183202191264202,6.3
2023-06-08 02:30:00,4.447633968176525,4.391017345999609,2.7
2023-06-08 03:30:00,3.976323308129998,3.830610782879579,4.2
2023-06-08 04:30:00,3.7940446579704843,3.602245852014025,7.5
2023-06-08 05:30:00,3.8119493401691553,3.6105406527652013,4.1
2023-06-08 06:30:00,3.690933437483096,3.4475084195571273,2.2
2023-06-08 07:30:00,3.770987343563074,3.5524743426909637,2.5
2023-06-08 08:30:00,4.085185206362569,3.9858336495636095,2.4
2023-06-08 09:30:00,4.859316535994337,4.861567102853039,7.4
2023-06-08 10:30:00,7.4356920911817745,7.198330244823387,7.8
2023-06-08 11:30:00,6.987088457220951,6.7685250858824855,7.8
2023-06-08 12:30:00,6.891565376513183,6.692400743567417,6.1
2023-06-08 13:30:00,6.95638770788187,6.742546216532081,4.8
2023-06-08 14:30:00,6.860066842629026,6.668743078326562,12.9
2023-06-08 15:30:00,6.72545610015192,6.584123553513779,10.9
2023-06-08 16:30:00,6.789515738415803,6.6334727120031385,7.6
2023-06-08 17:30:00,6.767824402026738,6.600895597498555,7.9
2023-06-08 18:30:00,9.825581803267852,12.235828809515592,9.4
2023-06-08 19:30:00,6.639522108730144,6.504319078190727,7.1
2023-06-08 20:30:00,5.987654059308406,5.954920729077741,11.0
2023-06-08 21:30:00,6.256930971117393,6.184188115091647,11.8
2023-06-08 22:30:00,5.748654080692392,5.724878680053136,8.6
2023-06-08 23:30:00,5.144221949248502,5.139474951775395,6.9
2023-06-09 00:30:00,4.791924126842623,4.761414838814236,4.1
2023-06-09 01:30:00,4.419236975489511,4.35478506311444,5.3
2023-06-09 02:30:00,4.366851513610777,4.279679691676531,4.2
2023-06-09 03:30:00,4.23102040724851,4.113110942672465,6.1
2023-06-09 04:30:00,4.151259954455481,4.018167691402555,4.7
2023-06-09 05:30:00,4.364766618604942,4.3547379918352584,2.3
2023-06-09 06:30:00,4.358974758206635,4.35933748076687,4.9
2023-06-09 07:30:00,4.765663181723954,4.771369292583024,6.0
2023-06-09 08:30:00,5.094917060260526,5.0938469848160235,5.4
2023-06-09 09:30:00,5.157058275956965,5.225966829397909,4.3
2023-06-09 10:30:00,5.3713282515753535,5.468714840428254,4.1
2023-06-09 11:30:00,5.586674588470894,5.691458930219824,6.8
2023-06-09 12:30:00,5.718468665833977,5.842752972949101,7.1
2023-06-09 13:30:00,5.953886155124962,6.03936924765744,6.5
2023-06-09 14:30:00,5.942773235675816,6.040935615826028,4.4
2023-06-09 15:30:00,5.892121191917966,6.003080232368476,4.7
2023-06-09 16:30:00,5.984796780524432,6.067060151276772,7.2
2023-06-09 17:30:00,6.203277252471397,6.226467355609474,9.7
2023-06-09 18:30:00,6.261379175541994,6.245828844983619,9.0
2023-06-09 19:30:00,6.086246094848017,6.076637624826861,10.1
2023-06-09 20:30:00,5.694418805294871,5.712227725170133,7.4
2023-06-09 21:30:00,5.436023218065606,5.477149276055309,5.3
2023-06-09 22:30:00,5.148559712962774,5.219766258513553,11.5
2023-06-09 23:30:00,4.7350253446976325,4.797490926646308,7.7
2023-06-10 00:30:00,4.741925684734948,4.723146531211721,11.6
2023-06-10 01:30:00,4.424635877223578,4.369381947565506,6.9
2023-06-10 02:30:00,4.151618275600359,4.059350510725127,3.5
2023-06-10 03:30:00,4.030298916603725,3.9126266848333335,2.3
2023-06-10 04:30:00,3.92139688132287,3.769855476660794,2.7
2023-06-10 05:30:00,4.001425796483533,3.8461603443860115,1.6
2023-06-10 06:30:00,3.958313996005061,3.7941209753421115,-0.1
2023-06-10 07:30:00,4.030676703218427,3.8867491140673707,1.8
2023-06-10 08:30:00,4.230923677785132,4.1908833501873115,3.2
2023-06-10 09:30:00,5.010832244512963,5.078727942361066,4.4
2023-06-10 10:30:00,4.997904866534213,5.149581522555611,8.5
2023-06-10 11:30:00,5.599357239795301,5.7114708625129165,12.2
2023-06-10 12:30:00,5.208032171422591,5.440922312410597,7.7
2023-06-10 13:30:00,5.216513355836723,5.580766778440886,3.7
2023-06-10 14:30:00,5.441805645750125,5.802823453939797,3.6
2023-06-10 15:30:00,5.566713512199218,5.907506155963885,4.0
2023-06-10 16:30:00,7.084838827003065,6.921463430090942,4.6
2023-06-10 17:30:00,5.8952909921341154,6.129853262795333,2.7
2023-06-10 18:30:00,5.918789469465562,6.066794850835869,3.5
2023-06-10 19:30:00,5.834824752132725,5.947255747080209,7.3
2023-06-10 20:30:00,5.966392718697064,5.985820560269804,7.9
2023-06-10 21:30:00,5.408878916356228,5.441344296709892,7.3
2023-06-10 22:30:00,5.280498587487205,5.3065756993970465,7.7
2023-06-10 23:30:00,5.155332721493886,5.1982914654425185,5.8
2023-06-11 00:30:00,5.148633193265519,5.170968884946002,5.1
2023-06-11 01:30:00,5.157538438638793,5.165388397209184,4.0
2023-06-11 02:30:00,4.800836196722424,4.782906784671387,7.6
2023-06-11 03:30:00,5.021270985565263,5.021936452601256,10.7
2023-06-11 04:30:00,5.828762385487888,5.9595394980454675,7.7
2023-06-11 05:30:00,5.460984118934057,5.587931329867802,7.0
2023-06-11 06:30:00,5.607310709451209,5.825498118795001,7.1
2023-06-11 07:30:00,6.005259186295408,6.252978707023955,5.9
2023-06-11 08:30:00,6.174642631765137,6.322103641911544,4.3
2023-06-11 09:30:00,5.89260488453907,5.943136325810354,2.7
2023-06-11 10:30:00,6.137655906540857,6.1241114529449785,5.6
2023-06-11 11:30:00,6.9238609740679955,6.739712241589215,6.1
2023-06-11 12:30:00,8.692839637166387,8.10834083569243,10.2
2023-06-11 13:30:00,8.486742834471903,7.892675764608361,7.8
2023-06-11 14:30:00,7.9586006413280135,7.481394634502292,9.6
2023-06-11 15:30:00,7.13749754438545,6.898346076447336,11.4
2023-06-11 16:30:00,6.733907218689183,6.615728951623591,8.4
2023-06-11 17:30:00,5.815926846284382,5.909910793608002,6.3
2023-06-11 18:30:00,5.763744235646522,5.865744773231096,5.3
2023-06-11 19:30:00,5.581986922805019,5.700050925642819,7.2
2023-06-11 20:30:00,5.855142848185624,5.829414891579128,7.8
2023-06-11 21:30:00,4.814566250392902,4.899275414476135,10.0
2023-06-11 22:30:00,4.437291454019063,4.5582481688311,7.7
2023-06-11 23:30:00,4.224309805590454,4.320488542258984,3.7
2023-06-12 00:30:00,4.120252589728713,4.101285493919786,1.6
2023-06-12 01:30:00,4.008791521683909,3.885600429979224,6.6
2023-06-12 02:30:00,3.813769146854389,3.5988634903013215,6.7
2023-06-12 06:30:00,4.576149030843997,4.644282946703896,7.9
2023-06-12 07:30:00,4.720318846348387,4.72298535521439,5.8
2023-06-12 08:30:00,5.336164166377555,5.341855777056535,2.4
2023-06-12 09:30:00,5.634461032536747,5.625360480523913,1.4
2023-06-12 10:30:00,5.951958385567583,5.9540500354965005,1.8
2023-06-12 11:30:00,5.658800862562941,5.74571135613426,0.2
2023-06-12 12:30:00,5.5729424860847345,5.698564984228145,1.6
2023-06-12 13:30:00,5.715976851897862,5.829009834555335,9.3
2023-06-12 14:30:00,5.719562076686179,5.816199461635499,9.2
2023-06-12 15:30:00,5.713835161692876,5.838921714215688,6.6
2023-06-12 16:30:00,5.573200065012947,5.770406368560441,3.2
2023-06-12 17:30:00,5.503816869128101,5.710222435850335,5.0
2023-06-12 18:30:00,14.448851107486387,15.88226864234788,7.8
2023-06-12 19:30:00,11.79401140990844,13.476350891303781,5.0
2023-06-12 20:30:00,5.795759262866124,5.784207431782753,8.3
2023-06-12 21:30:00,6.096614265606735,6.039533028447488,9.3
2023-06-12 22:30:00,5.547966737011578,5.533734825746572,5.4
2023-06-12 23:30:00,4.301673057985421,4.320492790140509,4.1
2023-06-13 00:30:00,4.162897580699868,4.120986497066677,4.8
2023-06-13 01:30:00,3.9902271893572294,3.8710932878519184,7.0
2023-06-13 02:30:00,3.863018203348833,3.678212883935926,7.5
2023-06-13 03:30:00,3.762717251145226,3.5297434759580755,4.7
2023-06-13 04:30:00,3.764229998028424,3.508737179166646,2.6
2023-06-13 05:30:00,3.830794976664748,3.586029851577422,2.6
2023-06-13 06:30:00,3.9404899023699196,3.7350437707578292,0.6
2023-06-13 07:30:00,4.2952951998974465,4.206578327997718,3.5
2023-06-13 08:30:00,4.834983430236351,4.871710117724169,3.0
2023-06-13 09:30:00,5.137422068667668,5.243436795362554,-0.5
2023-06-13 10:30:00,5.393597249801768,5.5052014053908085,5.5
2023-06-13 11:30:00,5.5575958280674085,5.67190845023263,7.9
2023-06-13 12:30:00,6.205814574374958,6.180595273490445,9.2
2023-06-13 13:30:00,5.658549613365361,5.766719061954115,6.2
2023-06-13 14:30:00,5.767368657392337,5.87202718151612,5.8
2023-06-13 15:30:00,5.90203517090724,5.981022628553508,7.3
2023-06-13 16:30:00,5.867176757958395,5.967553243529965,7.7
2023-06-13 17:30:00,5.74715370776709,5.8744430586053245,8.2
2023-06-13 18:30:00,5.974525386457074,6.0227544367785235,5.5
2023-06-13 19:30:00,7.242036182843558,6.9660147627799045,7.6
2023-06-13 20:30:00,5.369699069793384,5.4617743613427026,6.9
2023-06-13 21:30:00,5.293429659362273,5.341993006647171,7.9
2023-06-13 22:30:00,5.190481886868698,5.209241951315567,7.0
2023-06-13 23:30:00,4.8829258832741225,4.890489646083935,7.9
2023-06-14 00:30:00,4.503114876880303,4.529671085472343,5.5
2023-06-14 01:30:00,4.316577065306416,4.374742850070126,5.7
2023-06-14 02:30:00,4.252470389098645,4.245296816597881,4.1
2023-06-14 03:30:00,4.233738059525052,4.192998653131963,3.3
2023-06-14 04:30:00,4.2710298095850785,4.183895374363917,2.4
2023-06-14 05:30:00,4.289304128681578,4.201802810786042,-0.8
2023-06-14 06:30:00,4.494528921152217,4.4418964752576455,3.0
2023-06-14 07:30:00,4.878528210668838,4.896828512185427,4.7
2023-06-14 08:30:00,5.10802771804048,5.214440939218299,6.8
2023-06-14 09:30:00,5.3824253759632965,5.540509659274484,5.5
2023-06-14 10:30:00,5.5231680438316815,5.694014027941471,3.6
2023-06-14 11:30:00,5.703214076134837,5.847469013686157,6.2
2023-06-14 12:30:00,5.8125004326148115,5.9504092301256435,8.8
2023-06-14 13:30:00,5.891050727606702,6.01393334227253,7.9
2023-06-14 14:30:00,5.778967260208052,5.939124295929222,6.4
2023-06-14 15:30:00,5.679226064150209,5.8737112595264165,4.7
2023-06-14 16:30:00,5.72707333866939,5.912635685237188,4.5
2023-06-14 17:30:00,5.698400888363562,5.882523259531968,7.4
2023-06-14 18:30:00,5.989026186279821,6.059085768503601,6.3
2023-06-14 19:30:00,6.09126009947107,6.093194579605724,9.6
2023-06-14 20:30:00,5.608860624352728,5.650704602599182,8.4
2023-06-14 21:30:00,5.643508029336742,5.62442487126852,8.5
2023-06-14 22:30:00,5.251854654687429,5.245260383082804,12.4
2023-06-14 23:30:00,4.796111206107176,4.810740178431429,7.0
2023-06-15 00:30:00,4.675434613911232,4.670314300561414,5.0
2023-06-15 01:30:00,4.713325503586381,4.682309048936489,6.2
2023-06-15 02:30:00,4.746765005697435,4.713165164788229,5.9
2023-06-15 03:30:00,4.692816525928121,4.654148251301772,5.4
2023-06-15 04:30:00,4.752695291486167,4.724166183174598,6.3
2023-06-15 05:30:00,4.710692398157509,4.684599372664083,5.5
2023-06-15 06:30:00,4.979630318224571,5.001460755450389,4.8
2023-06-15 07:30:00,5.5153790074736015,5.5167037291436145,7.0
2023-06-15 08:30:00,5.777842749946084,5.758991686151649,5.5
2023-06-15 09:30:00,6.065395450894739,6.044584880510477,9.7
2023-06-15 10:30:00,6.506246083316363,6.396659972036868,7.8
2023-06-15 11:30:00,6.979819619590781,6.753243678804818,8.3
2023-06-15 12:30:00,6.94309618129633,6.7253396858479535,10.3
2023-06-15 13:30:00,6.533191670325422,6.424213977554224,8.4
2023-06-15 14:30:00,6.410160177569956,6.334062960045975,12.2
2023-06-15 15:30:00,6.244903402732946,6.219012281862877,10.3
2023-06-15 16:30:00,6.378288065719168,6.315248158055374,8.3
2023-06-15 17:30:00,6.4497726443580135,6.358683779936556,11.1
2023-06-15 18:30:00,10.518790123657878,9.421269273817039,13.0
2023-06-15 19:30:00,6.325444844446764,6.229340488912573,12.2
2023-06-15 21:30:00,5.975481310553588,5.914468856877736,7.6
2023-06-15 22:30:00,5.926352062567878,5.87505275203733,10.2
2023-06-15 23:30:00,5.782647558158066,5.760056919096331,11.4
2023-06-16 00:30:00,5.3743085031766835,5.4536290524472495,8.9
2023-06-16 01:30:00,5.221480690936703,5.384374990147773,9.6
2023-06-16 02:30:00,5.175251940048707,5.368396598231319,7.3
2023-06-16 03:30:00,4.997971507841379,5.173005199467303,8.7
2023-06-16 04:30:00,4.7758814758607215,4.8742064862677825,6.6
2023-06-16 05:30:00,4.7827271335518855,4.9294404148489805,6.1
2023-06-16 06:30:00,4.938891149781315,5.136123532893526,9.9
2023-06-16 07:30:00,5.2743569022850885,5.448861526848211,8.2
2023-06-16 08:30:00,5.861934070841162,5.968596160085731,8.5
2023-06-16 09:30:00,5.971086756076112,6.027333632371554,7.0
2023-06-16 10:30:00,6.393088157713992,6.376504582449641,10.4
2023-06-16 11:30:00,6.490389459236987,6.463230526484111,6.5
2023-06-16 12:30:00,6.490483527050048,6.445877516673503,7.4
2023-06-16 13:30:00,6.572180624985979,6.53116606616942,6.7
2023-06-16 14:30:00,6.599035608012846,6.570929308851396,11.8
2023-06-16 15:30:00,6.447590932875261,6.466338037244716,8.1
2023-06-16 16:30:00,6.411087581964171,6.435047301081241,4.8
2023-06-16 17:30:00,6.6493651677434595,6.602163587198405,7.3
2023-06-16 18:30:00,16.330871743323186,18.177924399579144,8.8
2023-06-16 19:30:00,7.095004970399307,6.844123406715141,11.7
2023-06-16 20:30:00,7.158040413136387,6.894977721334174,14.9
2023-06-16 21:30:00,6.7262982100477196,6.55995349518367,14.5
2023-06-16 22:30:00,6.6866920577201885,6.535492704418315,10.7
2023-06-16 23:30:00,6.3111931373741275,6.225840881862547,8.0
2023-06-17 00:30:00,5.90782490045539,5.871688591227121,7.2
2023-06-17 01:30:00,5.885974952683345,5.859858968419926,5.0
2023-06-17 02:30:00,5.671339693498213,5.680390941465838,11.1
2023-06-17 03:30:00,5.495886226327382,5.540306568183254,11.7
2023-06-17 04:30:00,5.6828528668889176,5.739510889997374,9.2
2023-06-17 05:30:00,5.803549270233211,5.881767037572672,7.4
