date_time,unixtime,m_PM25_b,m_PM1_b,m_PM10_b,tempC_sen5x,rh_sen5x,temp_C,rh,lat,lon,reference,dew_point,temp_minus_dew_point,pm_rh_interaction,pm_calibrated_clarityremake,pm_calibrated_twovar
2023-11-11 20:30:00,1699763700.0,41.16666666666666,39.0,41.16666666666666,12.5,63.16666666666666,12.666666666666666,67.16666666666667,36.785370666666665,-119.7730915,43.2,5.679708980050362,6.820291019949638,2600.36111111111,30.621493339192636,30.563356880070728
2023-11-11 21:30:00,1699767300.0,41.0,38.833333333333336,41.16666666666666,12.0,66.16666666666667,12.0,69.33333333333333,36.78539716666666,-119.77314016666666,39.5,5.875749681862147,6.124250318137853,2712.8333333333335,30.444312262591218,30.373990886494237
2023-11-11 22:30:00,1699770900.0,52.833333333333336,50.16666666666666,52.833333333333336,11.0,69.33333333333333,11.0,73.83333333333333,36.78541983333333,-119.773168,45.5,5.596345536395306,5.403654463604694,3663.111111111111,38.72008687731165,38.54625292962169
2023-11-11 23:30:00,1699774500.0,50.5,48.16666666666666,50.833333333333336,10.0,71.16666666666667,10.166666666666666,75.83333333333333,36.78544183333333,-119.77308783333332,39.4,5.01288810844001,4.98711189155999,3593.916666666667,37.108940315415985,36.87487178261451
2023-11-12 00:30:00,1699778100.0,48.16666666666666,45.5,48.16666666666666,9.0,73.33333333333333,9.333333333333334,77.66666666666667,36.78543416666667,-119.77305983333332,33.9,4.480290277575218,4.519709722424782,3532.2222222222213,35.323632645614026,35.1953599902707
2023-11-12 01:30:00,1699781700.0,38.66666666666666,36.833333333333336,38.66666666666666,9.0,74.0,9.0,76.83333333333333,36.7854125,-119.7731005,22.5,4.609871962457611,4.390128037542389,2861.3333333333326,28.67389626842032,28.556258123427735
2023-11-12 02:30:00,1699785300.0,37.833333333333336,36.0,37.833333333333336,8.0,75.33333333333333,8.166666666666666,79.5,36.7853705,-119.77309283333334,24.5,3.898430107886917,4.101569892113083,2850.1111111111113,28.040304581964595,27.94278461434704
2023-11-12 03:30:00,1699788900.0,35.666666666666664,34.0,35.833333333333336,8.0,77.33333333333333,8.0,81.83333333333333,36.78540283333333,-119.77304333333332,21.9,4.272221607958422,3.7277783920415777,2758.2222222222217,26.451328009478154,26.383528330218386
2023-11-12 04:30:00,1699792500.0,35.333333333333336,33.5,35.333333333333336,7.333333333333333,79.33333333333333,7.0,83.83333333333333,36.7853945,-119.7730585,22.6,3.988602124970264,3.344731208363069,2803.1111111111113,26.105363297306095,26.10236408710494
2023-11-12 05:30:00,1699796100.0,31.5,30.33333333333333,31.5,6.666666666666667,79.83333333333333,6.5,85.33333333333333,36.7854265,-119.77304716666669,16.9,3.4287189512495417,3.2379477154171252,2514.75,23.470104190376475,23.417793851522745
2023-11-12 06:30:00,1699799700.0,30.83333333333333,29.666666666666668,30.83333333333333,6.0,81.66666666666667,6.0,86.33333333333333,36.785421166666666,-119.77306866666667,18.2,3.1001029812202745,2.8998970187797255,2518.055555555555,22.916190919759334,22.908314559983936
2023-11-12 07:30:00,1699803300.0,28.83333333333333,27.166666666666668,28.83333333333333,9.833333333333334,67.83333333333333,8.833333333333334,75.83333333333333,36.7854775,-119.7730915,19.6,4.166042600830141,5.667290732503193,1955.8611111111106,21.863429382794664,21.85145411489199
2023-11-12 08:30:00,1699806900.0,29.33333333333333,28.166666666666668,29.33333333333333,16.5,48.16666666666666,13.166666666666666,62.66666666666666,36.78538716666667,-119.773154,23.4,5.493281373066606,11.006718626933395,1412.8888888888885,22.782987396333105,22.679732746393604
2023-11-12 09:30:00,1699810500.0,35.166666666666664,33.166666666666664,35.166666666666664,21.33333333333333,37.66666666666666,17.166666666666668,50.16666666666666,36.78543016666666,-119.77304466666668,21.6,6.299221794719749,15.03411153861358,1324.6111111111106,26.58749839277957,27.00250456863671
2023-11-12 10:30:00,1699814100.0,34.5,32.5,34.5,23.83333333333333,33.0,18.666666666666668,46.0,36.785415,-119.77309016666668,21.4,6.581720669954167,17.251612663379163,1138.5,26.02396641895562,26.651572861162165
2023-11-12 11:30:00,1699817700.0,30.83333333333333,28.83333333333333,31.0,25.666666666666668,30.33333333333333,21.166666666666668,40.16666666666666,36.785424166666665,-119.77311066666664,25.6,6.9489326650668675,18.7177340015998,935.2777777777775,23.435588984084156,24.16043394182478
2023-11-12 12:30:00,1699821300.0,21.83333333333333,20.666666666666668,22.33333333333333,27.0,27.0,23.5,34.166666666666664,36.785401,-119.77311583333334,13.4,6.39918889876885,20.60081110123115,589.4999999999999,17.428582327190647,17.967470375661872
2023-11-12 13:30:00,1699824900.0,16.833333333333332,16.0,17.166666666666668,28.83333333333333,23.33333333333333,24.83333333333333,29.33333333333333,36.78536616666667,-119.77307383333334,15.9,5.83301219616502,23.000321137168307,392.77777777777766,13.975350217247687,14.571201907959681
2023-11-12 14:30:00,1699828500.0,13.333333333333334,12.833333333333334,13.5,28.33333333333333,22.5,25.666666666666668,26.666666666666668,36.7853935,-119.7730395,12.0,4.890652483661728,23.4426808496716,300.0,11.689986622275853,12.151534624817678
2023-11-12 15:30:00,1699832100.0,11.666666666666666,10.833333333333334,11.666666666666666,27.0,23.33333333333333,25.5,26.33333333333333,36.785408,-119.7730495,9.6,4.29579542149296,22.70420457850704,272.2222222222222,10.56285893461273,10.969306156007736
2023-11-12 16:30:00,1699835700.0,11.666666666666666,11.0,11.666666666666666,24.166666666666668,29.0,22.5,32.833333333333336,36.78545366666666,-119.77313866666668,10.3,5.0023574856336745,19.164309181032994,338.3333333333333,10.780266611326839,10.831085185285044
2023-11-12 17:30:00,1699839300.0,17.666666666666668,16.833333333333332,17.833333333333332,19.5,38.833333333333336,18.83333333333333,43.0,36.78538366666667,-119.77309433333332,14.2,5.105744298990595,14.394255701009406,686.0555555555557,14.894442846267475,14.774077827540626
