date_time,pm_calibrated_clarityremake,pm_calibrated_twovar,reference
2023-06-07 15:30:00,10.619611030851756,10.347224045727506,12.2
2023-06-07 16:30:00,11.286703507917345,11.050421828456468,8.7
2023-06-07 17:30:00,11.827005836607789,11.492823931590486,7.5
2023-06-07 18:30:00,10.702619410421349,10.426673775646368,9.7
2023-06-07 19:30:00,9.407267531642557,9.209633783521003,8.5
2023-06-07 20:30:00,9.481758567622117,9.331678195894575,7.0
2023-06-07 21:30:00,9.031390474550896,8.930314473786577,4.5
2023-06-07 22:30:00,9.19072675236128,9.113459517138473,9.5
2023-06-07 23:30:00,9.294188454060361,9.238954055644509,5.5
2023-06-08 00:30:00,8.998156626890577,8.954271023575426,7.8
2023-06-08 01:30:00,8.636211273066824,8.655177288425659,6.3
2023-06-08 02:30:00,4.724192031900724,4.756985303993789,2.7
2023-06-08 03:30:00,3.6325564893806748,3.70566219087306,4.2
2023-06-08 04:30:00,3.196195677643166,3.2797274691434355,7.5
2023-06-08 05:30:00,3.275688309524165,3.3869024404817796,4.1
2023-06-08 06:30:00,2.97248080178952,3.0959300528575397,2.2
2023-06-08 07:30:00,3.1742868966942526,3.294202941334571,2.5
2023-06-08 08:30:00,3.8584043435195774,3.885229238844959,2.4
2023-06-08 09:30:00,5.465476571935454,5.391898354587388,7.4
2023-06-08 10:30:00,10.370756538437359,10.079189652598394,7.8
2023-06-08 11:30:00,8.824937628626435,8.541397023759096,7.8
2023-06-08 12:30:00,8.376829087446088,8.139888010358316,6.1
2023-06-08 13:30:00,8.540019875143527,8.287044097927497,4.8
2023-06-08 14:30:00,8.500266910844472,8.236715046247912,12.9
2023-06-08 15:30:00,7.888839647878746,7.695989184183816,10.9
2023-06-08 16:30:00,7.940930849984294,7.758590724556881,7.6
2023-06-08 17:30:00,8.2850660717935,8.02640099143928,7.9
2023-06-08 18:30:00,8.080337647222992,7.597112669297935,9.4
2023-06-08 19:30:00,8.190009311283657,7.918902717312887,7.1
2023-06-08 20:30:00,7.277207892641683,7.0561838876555605,11.0
2023-06-08 21:30:00,8.133855296683063,7.943789825853365,11.8
2023-06-08 22:30:00,7.224294624752252,7.090270062980986,8.6
2023-06-08 23:30:00,6.088906717425212,6.028555137545568,6.9
2023-06-09 00:30:00,5.506091969860273,5.547097483841424,4.1
2023-06-09 01:30:00,4.659995218372882,4.702737631895742,5.3
2023-06-09 02:30:00,4.650086631779418,4.764048680934408,4.2
2023-06-09 03:30:00,4.467465190339317,4.6873783964562445,6.1
2023-06-09 04:30:00,4.401681145653239,4.7204830228700265,4.7
2023-06-09 05:30:00,5.226103551450307,5.702545179747091,2.3
2023-06-09 06:30:00,5.2493456075042015,5.748929356899656,4.9
2023-06-09 07:30:00,5.875139078955238,6.119622969927555,6.0
2023-06-09 08:30:00,6.061381154488137,6.0039049208784805,5.4
2023-06-09 09:30:00,5.742425960688735,5.576440351247824,4.3
2023-06-09 10:30:00,5.892842128233932,5.733255532939593,4.1
2023-06-09 11:30:00,6.04884062183082,5.920285638893939,6.8
2023-06-09 12:30:00,6.020272524445552,5.972551816126265,7.1
2023-06-09 13:30:00,6.267696010194339,6.259921426779759,6.5
2023-06-09 14:30:00,6.189862519644798,6.206053932290991,4.4
2023-06-09 15:30:00,6.117964007510393,6.133777201936979,4.7
2023-06-09 16:30:00,6.3211225853683315,6.310180431514933,7.2
2023-06-09 17:30:00,6.706279091651398,6.660401131953439,9.7
2023-06-09 18:30:00,7.032052946715992,6.897866812972605,9.0
2023-06-09 19:30:00,7.035428285453971,6.840028643790285,10.1
2023-06-09 20:30:00,6.639712981136304,6.446445877160746,7.4
2023-06-09 21:30:00,6.277691456832729,6.092087500160442,5.3
2023-06-09 22:30:00,5.771399958022449,5.590258765490014,11.5
2023-06-09 23:30:00,5.048992515879943,4.916715865457735,7.7
2023-06-10 00:30:00,5.291252958844663,5.250402094504106,11.6
2023-06-10 01:30:00,4.677734336203644,4.696182935139846,6.9
2023-06-10 02:30:00,4.053882041684311,4.080070063694085,3.5
2023-06-10 03:30:00,3.7891650638560215,3.840513130048316,2.3
2023-06-10 04:30:00,3.5348467612145846,3.5966735424100027,2.7
2023-06-10 05:30:00,3.7926583997387597,3.9069727127283294,1.6
2023-06-10 06:30:00,3.6844696711790563,3.79542437234753,-0.1
2023-06-10 07:30:00,3.8621289606668574,3.965483312635948,1.8
2023-06-10 08:30:00,4.200171006755072,4.160435982602694,3.2
2023-06-10 09:30:00,5.635551892048525,5.4519692681186385,4.4
2023-06-10 10:30:00,5.409230437890971,5.1964620870150355,8.5
2023-06-10 11:30:00,6.383607736863354,6.134655511149372,12.2
2023-06-10 12:30:00,5.494021926343895,5.321927375970322,7.7
2023-06-10 13:30:00,5.109238152183783,5.108666052170145,3.7
2023-06-10 14:30:00,5.169489731509688,5.317103306533884,3.6
2023-06-10 15:30:00,5.218859746555852,5.438415399652069,4.0
