site,date,start_hour,value,variable,units,quality,prelim,name 
3781,2025-06-01,6,21.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-01,7,34.0,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-01,8,44.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-01,9,45.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-01,10,37.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-01,11,36.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-01,12,40.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-01,13,42.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-01,14,41.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-01,15,46.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-01,16,51.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-01,17,49.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-01,18,55.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-01,19,44.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-01,20,35.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-01,21,32.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-01,22,29.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-01,23,26.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
2114,2025-06-01,0,18.6,OZONE,Parts Per Billion ( ppb ),0,y,Parlier 
2114,2025-06-01,1,10.7,OZONE,Parts Per Billion ( ppb ),0,y,Parlier 
2114,2025-06-01,2,7.7,OZONE,Parts Per Billion ( ppb ),0,y,Parlier 
2114,2025-06-01,5,19.3,OZONE,Parts Per Billion ( ppb ),0,y,Parlier 
2114,2025-06-01,6,30.3,OZONE,Parts Per Billion ( ppb ),0,y,Parlier 
2114,2025-06-01,7,40.8,OZONE,Parts Per Billion ( ppb ),0,y,Parlier 
2114,2025-06-01,8,49.0,OZONE,Parts Per Billion ( ppb ),0,y,Parlier 
2114,2025-06-01,9,56.2,OZONE,Parts Per Billion ( ppb ),0,y,Parlier 
2114,2025-06-01,10,55.9,OZONE,Parts Per Billion ( ppb ),0,y,Parlier 
2114,2025-06-01,11,64.2,OZONE,Parts Per Billion ( ppb ),0,y,Parlier 
2114,2025-06-01,12,63.6,OZONE,Parts Per Billion ( ppb ),0,y,Parlier 
2114,2025-06-01,13,55.4,OZONE,Parts Per Billion ( ppb ),0,y,Parlier 
2114,2025-06-01,14,46.5,OZONE,Parts Per Billion ( ppb ),0,y,Parlier 
2114,2025-06-01,15,48.1,OZONE,Parts Per Billion ( ppb ),0,y,Parlier 
2114,2025-06-01,16,49.9,OZONE,Parts Per Billion ( ppb ),0,y,Parlier 
2114,2025-06-01,17,57.6,OZONE,Parts Per Billion ( ppb ),0,y,Parlier 
2114,2025-06-01,18,53.1,OZONE,Parts Per Billion ( ppb ),0,y,Parlier 
2114,2025-06-01,19,53.5,OZONE,Parts Per Billion ( ppb ),0,y,Parlier 
2114,2025-06-01,20,47.8,OZONE,Parts Per Billion ( ppb ),0,y,Parlier 
2114,2025-06-01,21,38.2,OZONE,Parts Per Billion ( ppb ),0,y,Parlier 
2114,2025-06-01,22,31.5,OZONE,Parts Per Billion ( ppb ),0,y,Parlier 
2114,2025-06-01,23,29.3,OZONE,Parts Per Billion ( ppb ),0,y,Parlier 
3759,2025-06-01,0,39.5,OZONE,Parts Per Billion ( ppb ),0,y,Tranquility-32650 West Adams Avenue 
3759,2025-06-01,1,22.5,OZONE,Parts Per Billion ( ppb ),0,y,Tranquility-32650 West Adams Avenue 
3759,2025-06-01,4,16.5,OZONE,Parts Per Billion ( ppb ),0,y,Tranquility-32650 West Adams Avenue 
3759,2025-06-01,5,11.6,OZONE,Parts Per Billion ( ppb ),0,y,Tranquility-32650 West Adams Avenue 
3759,2025-06-01,6,18.2,OZONE,Parts Per Billion ( ppb ),0,y,Tranquility-32650 West Adams Avenue 
3759,2025-06-01,7,28.2,OZONE,Parts Per Billion ( ppb ),0,y,Tranquility-32650 West Adams Avenue 
3759,2025-06-01,8,35.7,OZONE,Parts Per Billion ( ppb ),0,y,Tranquility-32650 West Adams Avenue 
3759,2025-06-01,9,36.9,OZONE,Parts Per Billion ( ppb ),0,y,Tranquility-32650 West Adams Avenue 
3759,2025-06-01,10,35.6,OZONE,Parts Per Billion ( ppb ),0,y,Tranquility-32650 West Adams Avenue 
3759,2025-06-01,11,35.2,OZONE,Parts Per Billion ( ppb ),0,y,Tranquility-32650 West Adams Avenue 
3759,2025-06-01,12,35.4,OZONE,Parts Per Billion ( ppb ),0,y,Tranquility-32650 West Adams Avenue 
3759,2025-06-01,13,39.0,OZONE,Parts Per Billion ( ppb ),0,y,Tranquility-32650 West Adams Avenue 
3759,2025-06-01,14,42.6,OZONE,Parts Per Billion ( ppb ),0,y,Tranquility-32650 West Adams Avenue 
3759,2025-06-01,15,46.8,OZONE,Parts Per Billion ( ppb ),0,y,Tranquility-32650 West Adams Avenue 
3759,2025-06-01,16,54.7,OZONE,Parts Per Billion ( ppb ),0,y,Tranquility-32650 West Adams Avenue 
3759,2025-06-01,17,64.1,OZONE,Parts Per Billion ( ppb ),0,y,Tranquility-32650 West Adams Avenue 
3759,2025-06-01,18,58.7,OZONE,Parts Per Billion ( ppb ),0,y,Tranquility-32650 West Adams Avenue 
3759,2025-06-01,19,48.6,OZONE,Parts Per Billion ( ppb ),0,y,Tranquility-32650 West Adams Avenue 
3759,2025-06-01,20,42.8,OZONE,Parts Per Billion ( ppb ),0,y,Tranquility-32650 West Adams Avenue 
3759,2025-06-01,21,29.5,OZONE,Parts Per Billion ( ppb ),0,y,Tranquility-32650 West Adams Avenue 
3759,2025-06-01,22,20.4,OZONE,Parts Per Billion ( ppb ),0,y,Tranquility-32650 West Adams Avenue 
3759,2025-06-01,23,16.9,OZONE,Parts Per Billion ( ppb ),0,y,Tranquility-32650 West Adams Avenue 
2981,2025-06-01,0,36.1,OZONE,Parts Per Billion ( ppb ),0,y,Shafter-Walker Street 
2981,2025-06-01,1,41.7,OZONE,Parts Per Billion ( ppb ),0,y,Shafter-Walker Street 
2981,2025-06-01,2,38.9,OZONE,Parts Per Billion ( ppb ),0,y,Shafter-Walker Street 
2981,2025-06-01,3,35.0,OZONE,Parts Per Billion ( ppb ),0,y,Shafter-Walker Street 
2981,2025-06-01,5,26.0,OZONE,Parts Per Billion ( ppb ),0,y,Shafter-Walker Street 
