site,date,start_hour,value,variable,units,quality,prelim,name 
3781,2025-07-10,0,34.0,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-10,1,31.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-10,2,27.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-10,3,23.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-10,5,15.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-10,6,22.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-10,7,33.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-10,8,47.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-10,9,61.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-10,10,62.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-10,11,57.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-10,12,55.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-10,13,55.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-10,14,57.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-10,15,59.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-10,16,63.0,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-10,17,62.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-10,18,60.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-10,19,49.0,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-10,20,45.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-10,21,33.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-10,22,28.0,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-10,23,28.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-11,0,28.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-11,1,25.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-11,2,21.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-11,3,22.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-11,5,15.0,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-11,6,24.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-07-11,7,37.0,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
