date_time,Clovis,Fresno-Garland,Tranquility,Hanford,Porterville,Visalia,Fresno-Drummond,Parlier,Shafter,Sequoia,Madera,Bakersfield Airport,Bakersfield
2025-06-01,52.9125,46.6,49.6625,56.9625,66.8,58.8375,51.6875,55.15,53.225,58.0,51.7625,59.3125,59.02499999999999
2025-06-02,61.8875,57.32857142857143,52.175000000000004,55.887499999999996,63.3125,57.324999999999996,59.762499999999996,57.074999999999996,51.724999999999994,62.625,61.75,58.2875,60.15
2025-06-03,61.237500000000004,55.400000000000006,57.8625,62.3,70.9,64.625,63.225,64.0,58.375,63.875,63.599999999999994,59.6875,58.8875
2025-06-04,60.42857142857143,55.987500000000004,56.3875,64.75,70.1625,63.0375,59.974999999999994,64.7,64.47500000000001,71.16666666666667,61.028571428571425,65.425,66.94999999999999
2025-06-05,60.1625,53.800000000000004,50.449999999999996,61.1375,67.6,61.699999999999996,59.675000000000004,63.162499999999994,55.225,65.125,59.6875,59.800000000000004,62.1125
2025-06-06,61.625,52.599999999999994,53.862500000000004,57.575,67.1125,63.487500000000004,57.7875,64.46249999999999,57.25,65.125,55.275,63.275,65.45
2025-06-07,64.6625,54.987500000000004,54.375,59.6,70.725,67.225,62.225,67.6625,57.662499999999994,74.25,58.262499999999996,58.512499999999996,60.575
2025-06-08,56.925,49.6625,51.7875,58.037499999999994,64.16250000000001,56.662499999999994,56.212500000000006,57.387499999999996,59.125,69.375,54.4875,64.925,65.475
2025-06-09,61.4375,52.6625,52.8625,59.2375,71.39999999999999,62.6125,59.275,63.074999999999996,58.8375,78.5,59.08749999999999,66.1125,68.6
2025-06-10,60.62500000000001,51.699999999999996,52.05,59.050000000000004,70.875,64.675,55.5,63.474999999999994,58.587500000000006,77.5,53.37499999999999,69.0,66.5625
2025-06-11,52.7,48.449999999999996,57.887499999999996,56.800000000000004,60.775,59.4,55.800000000000004,55.7125,57.8,68.375,52.974999999999994,58.6,62.25
2025-06-12,53.3125,50.037499999999994,54.824999999999996,53.9625,60.725,55.2,53.7875,58.46249999999999,55.73333333333333,68.375,55.699999999999996,59.425,61.8625
2025-06-13,48.95,45.675,48.0,48.8875,56.05,55.125,49.5875,55.18749999999999,51.699999999999996,66.0,48.01249999999999,51.0125,52.4375
2025-06-14,57.275,52.725,56.325,59.0,61.7,59.4625,60.0125,58.287499999999994,56.6375,64.25,57.52499999999999,55.425,57.0125
2025-06-15,65.4,59.625,57.887499999999996,62.112500000000004,69.8,67.2625,65.775,65.7375,62.8375,72.625,62.912499999999994,62.8625,66.2625
2025-06-16,64.4,59.6625,62.6375,66.01428571428572,70.96249999999999,67.725,66.2625,66.6,61.5,74.5,63.724999999999994,65.25,67.875
2025-06-17,63.74999999999999,58.6125,55.075,62.25,66.97500000000001,65.76249999999999,64.75,66.38571428571429,60.185714285714276,70.57142857142857,61.93749999999999,67.5,68.1625
2025-06-18,70.7625,62.949999999999996,54.9125,70.9,84.575,79.75,69.875,78.45,64.3625,81.625,63.4,74.51249999999999,72.15
2025-06-19,68.85,61.2,63.65,68.9375,67.375,67.6875,66.8,70.65,58.962500000000006,79.375,63.724999999999994,63.25714285714286,65.275
2025-06-20,50.150000000000006,45.4,45.875,56.45,54.1375,55.3375,50.7125,52.949999999999996,54.075,62.25,47.412499999999994,57.27499999999999,59.974999999999994
2025-06-21,41.512499999999996,37.475,39.0125,43.699999999999996,46.275,44.1875,40.875,42.74999999999999,44.45,47.375,39.99999999999999,46.4125,48.0
2025-06-22,43.225,36.7,40.35,45.199999999999996,52.8625,52.175,44.5,48.0625,44.974999999999994,53.5,40.31249999999999,45.8375,46.962500000000006
2025-06-23,50.275,47.237500000000004,49.4,52.275,55.025,52.5,50.1375,53.37499999999999,50.2875,57.0,52.12499999999999,52.325,54.1125
2025-06-24,56.25,51.337500000000006,49.98571428571428,53.1625,63.45,62.325,55.45,61.37499999999999,53.1,61.875,52.4875,53.712500000000006,57.325
2025-06-25,59.712500000000006,54.225,56.9625,58.6875,67.53750000000001,65.8875,58.68571428571429,65.1375,57.3375,69.75,60.9875,63.575,62.8875
2025-06-26,61.3875,55.3625,53.125,59.142857142857146,65.4375,61.6125,58.7125,67.625,65.975,73.25,57.0375,66.225,67.5
2025-06-27,66.6375,62.1375,57.3125,63.45,68.8,67.1125,67.3875,70.125,60.475,72.125,61.387499999999996,65.2625,66.75
