Ozone-1578:OZONE_value,Ozone-1578:OZONE_date,GPS:LAT_value,GPS:LAT_date,GPS:LON_value,GPS:LON_date
41.9,2025-10-22T01:51:02Z,36.1388944,2025-10-22T01:51:02Z,-120.3683751,2025-10-22T01:51:02Z
45.6,2025-10-22T01:56:07Z,36.1388839,2025-10-22T01:56:07Z,-120.3684016,2025-10-22T01:56:07Z
49.1,2025-10-22T02:01:11Z,36.1389050,2025-10-22T02:01:11Z,-120.3683773,2025-10-22T02:01:11Z
44.7,2025-10-22T02:06:20Z,36.1389182,2025-10-22T02:06:20Z,-120.3683519,2025-10-22T02:06:20Z
44.7,2025-10-22T02:11:26Z,36.1389218,2025-10-22T02:11:26Z,-120.3683923,2025-10-22T02:11:26Z
40.8,2025-10-22T02:16:28Z,36.1389525,2025-10-22T02:16:28Z,-120.3683938,2025-10-22T02:16:28Z
40.3,2025-10-22T02:21:33Z,36.1389221,2025-10-22T02:21:33Z,-120.3683910,2025-10-22T02:21:33Z
39.0,2025-10-22T02:26:35Z,36.1389122,2025-10-22T02:26:35Z,-120.3683775,2025-10-22T02:26:35Z
39.3,2025-10-22T02:31:39Z,36.1389081,2025-10-22T02:31:39Z,-120.3683763,2025-10-22T02:31:39Z
39.3,2025-10-22T02:36:41Z,36.1388885,2025-10-22T02:36:41Z,-120.3683882,2025-10-22T02:36:41Z
38.5,2025-10-22T02:41:48Z,36.1389139,2025-10-22T02:41:48Z,-120.3683944,2025-10-22T02:41:48Z
43.3,2025-10-22T02:46:49Z,36.1389086,2025-10-22T02:46:49Z,-120.3683950,2025-10-22T02:46:49Z
39.4,2025-10-22T02:51:54Z,36.1389004,2025-10-22T02:51:54Z,-120.3684182,2025-10-22T02:51:54Z
37.6,2025-10-22T02:56:56Z,36.1388975,2025-10-22T02:56:56Z,-120.3683740,2025-10-22T02:56:56Z
38.1,2025-10-22T03:01:58Z,36.1388814,2025-10-22T03:01:58Z,-120.3684096,2025-10-22T03:01:58Z
39.6,2025-10-22T03:07:04Z,36.1389051,2025-10-22T03:07:04Z,-120.3683985,2025-10-22T03:07:04Z
42.0,2025-10-22T03:12:06Z,36.1389012,2025-10-22T03:12:06Z,-120.3683740,2025-10-22T03:12:06Z
39.9,2025-10-22T03:17:11Z,36.1388970,2025-10-22T03:17:11Z,-120.3683658,2025-10-22T03:17:11Z
38.3,2025-10-22T03:22:15Z,36.1389302,2025-10-22T03:22:15Z,-120.3683408,2025-10-22T03:22:15Z
39.0,2025-10-22T03:27:17Z,36.1388952,2025-10-22T03:27:17Z,-120.3683865,2025-10-22T03:27:17Z
41.6,2025-10-22T03:32:19Z,36.1389110,2025-10-22T03:32:19Z,-120.3683791,2025-10-22T03:32:19Z
41.5,2025-10-22T03:37:25Z,36.1389607,2025-10-22T03:37:25Z,-120.3683423,2025-10-22T03:37:25Z
38.7,2025-10-22T03:42:30Z,36.1389391,2025-10-22T03:42:30Z,-120.3683571,2025-10-22T03:42:30Z
35.8,2025-10-22T03:47:34Z,36.1389916,2025-10-22T03:47:34Z,-120.3683478,2025-10-22T03:47:34Z
33.5,2025-10-22T03:52:36Z,36.1389561,2025-10-22T03:52:36Z,-120.3683585,2025-10-22T03:52:36Z
