date_time,unixtime,temp_C,rh,o3,m_PM25_CF1,m_PM10_CF1,lat,lon,reference,seasonal_bias,week
2025-06-22 00:30:00,1750577700.0,19.33333333333333,40.333333333333336,23.009500000000003,6.833333333333333,7.0,36.78544566666667,-119.773178,25.1,1,25
2025-06-22 01:30:00,1750581300.0,18.33333333333333,44.16666666666666,21.2795,3.6666666666666665,4.0,36.78544683333333,-119.7731525,23.4,1,25
2025-06-22 02:30:00,1750584900.0,17.0,48.833333333333336,14.1955,4.0,4.666666666666667,36.7854525,-119.77314383333334,20.5,1,25
2025-06-22 08:30:00,1750606500.0,19.166666666666668,44.5,11.469333333333331,6.5,6.833333333333333,36.785383333333336,-119.77313366666664,20.9,1,25
2025-06-22 09:30:00,1750610100.0,21.666666666666668,39.16666666666666,22.05033333333333,5.166666666666667,5.5,36.7853995,-119.77309666666667,27.3,1,25
2025-06-22 10:30:00,1750613700.0,24.0,34.666666666666664,29.72083333333333,4.166666666666667,4.833333333333333,36.78543033333333,-119.7731195,33.3,1,25
2025-06-22 16:30:00,1750635300.0,30.666666666666668,19.33333333333333,41.68933333333333,1.0,1.0,36.7854025,-119.77310566666668,38.2,1,25
2025-06-22 17:30:00,1750638900.0,30.0,19.0,41.9505,1.0,1.0,36.78544033333333,-119.77310566666668,37.7,1,25
2025-06-22 18:30:00,1750642500.0,29.666666666666668,19.5,41.59333333333333,0.8333333333333334,1.0,36.78539916666667,-119.77311566666668,36.9,1,25
2025-06-22 19:30:00,1750646100.0,28.666666666666668,20.5,41.341166666666666,0.8333333333333334,1.0,36.785501333333336,-119.77305083333331,36.4,1,25
2025-06-22 20:30:00,1750649700.0,26.666666666666668,24.33333333333333,38.949666666666666,1.5,1.8333333333333333,36.785406,-119.77315383333332,36.2,1,25
2025-06-22 21:30:00,1750653300.0,25.0,28.83333333333333,36.2375,1.1666666666666667,1.5,36.78539766666667,-119.77310033333332,34.8,1,25
2025-06-22 22:30:00,1750656900.0,23.5,30.666666666666668,35.188,1.8333333333333333,1.8333333333333333,36.78541,-119.77313733333334,33.9,1,25
2025-06-22 23:30:00,1750660500.0,22.166666666666668,33.5,31.0485,2.1666666666666665,2.1666666666666665,36.785438,-119.77309166666667,31.2,1,25
2025-06-23 00:30:00,1750664100.0,20.33333333333333,40.333333333333336,20.826666666666668,4.333333333333333,4.5,36.785391,-119.77317183333334,24.9,1,26
2025-06-23 01:30:00,1750667700.0,20.0,42.0,22.68433333333333,5.333333333333333,5.666666666666667,36.785358,-119.7731095,25.3,1,26
