date_time,unixtime,temp_C,rh,o3,m_PM25_CF1,m_PM10_CF1,lat,lon,reference,seasonal_bias
2025-06-24 14:30:00,1750800301.0,34.333333333333336,19.666666666666668,52.4075,3.5,3.8333333333333335,36.7853915,-119.77301816666666,49.4,1
2025-06-24 15:30:00,1750803901.0,34.5,19.166666666666668,54.22916666666666,3.0,3.1666666666666665,36.78539266666667,-119.77308033333333,49.0,1
2025-06-24 16:30:00,1750807501.0,35.0,17.333333333333332,55.86566666666667,2.0,2.1666666666666665,36.78538833333334,-119.7731145,49.6,1
2025-06-24 17:30:00,1750811101.0,34.666666666666664,17.5,57.53266666666667,2.333333333333333,2.6666666666666665,36.785418666666665,-119.77312733333332,50.6,1
2025-06-24 18:30:00,1750814701.0,33.666666666666664,16.666666666666668,54.95216666666667,2.1666666666666665,2.1666666666666665,36.785476,-119.773239,47.8,1
2025-06-24 19:30:00,1750818301.0,32.5,18.166666666666668,51.6595,1.8333333333333333,1.8333333333333333,36.78535333333333,-119.77310666666666,44.5,1
2025-06-24 20:30:00,1750821901.0,30.166666666666668,23.5,45.11333333333334,2.1666666666666665,2.333333333333333,36.78539466666667,-119.77312233333332,41.5,1
2025-06-24 21:30:00,1750825501.0,28.166666666666668,32.333333333333336,40.455000000000005,3.6666666666666665,4.166666666666667,36.785411833333335,-119.773094,39.9,1
2025-06-24 22:30:00,1750829101.0,26.166666666666668,39.333333333333336,38.686,4.666666666666667,5.0,36.785372,-119.77308783333336,38.5,1
2025-06-24 23:30:00,1750832701.0,24.5,40.333333333333336,35.408166666666666,5.166666666666667,5.166666666666667,36.78543866666666,-119.77305333333334,34.4,1
2025-06-25 00:30:00,1750836301.0,22.83333333333333,44.66666666666666,28.7735,5.5,5.833333333333333,36.78540233333333,-119.77312833333332,29.3,1
2025-06-25 01:30:00,1750839901.0,21.33333333333333,50.0,23.5675,6.0,6.166666666666667,36.78542566666666,-119.7731005,25.9,1
2025-06-25 02:30:00,1750843501.0,20.33333333333333,53.833333333333336,19.544,6.0,6.0,36.78543033333333,-119.7730915,23.5,1
2025-06-25 03:30:00,1750847101.0,19.166666666666668,59.0,11.711999999999998,7.166666666666667,7.5,36.78537,-119.77312366666666,18.1,1
2025-06-25 08:30:00,1750865101.0,21.83333333333333,47.0,16.941333333333333,7.333333333333333,7.666666666666667,36.7853755,-119.7731705,24.1,1
2025-06-25 09:30:00,1750868701.0,24.666666666666668,40.66666666666666,24.4435,7.166666666666667,7.833333333333333,36.7853455,-119.7731425,32.6,1
