date_time,unixtime,m_PM25_CF1,m_PM1_CF1,m_PM10_CF1,tempC_pms,rh_pms,temp_C,rh,lat,lon,reference,dew_point,temp_minus_dew_point,pm_rh_interaction
2023-06-07 15:30:00,1686177300.0,14.461666666666666,9.975,15.395,0.1,0.0333333333333333,23.9,49.88333333333333,36.78545316666666,-119.77315016666668,12.2,-75.90996772541993,76.00996772541993,0.482055555555555
2023-06-07 16:30:00,1686181080.0,17.616,12.408,18.612,0.16,0.08,23.94,50.2,36.7854446,-119.773149,8.7,-69.9634201673449,70.1234201673449,1.40928
2023-06-07 17:30:00,1686184500.0,18.935,13.693333333333332,19.861666666666665,0.0666666666666666,0.0,24.85,47.86666666666667,36.785325666666665,-119.77315666666664,7.5,,,0.0
2023-06-07 18:30:00,1686188100.0,17.081666666666667,12.243333333333334,17.919999999999998,0.2,0.1,23.616666666666664,50.15,36.785371833333336,-119.77323416666668,9.7,-68.36673374120942,68.56673374120942,1.7081666666666668
2023-06-07 19:30:00,1686191700.0,14.26,10.016666666666667,15.083333333333334,0.1333333333333333,0.0666666666666666,23.183333333333334,50.85,36.78542,-119.77318466666668,8.5,-71.24351106684136,71.3768444001747,0.9506666666666657
2023-06-07 20:30:00,1686195300.0,14.085,9.771666666666668,15.043333333333337,0.0333333333333333,0.0,22.866666666666664,52.05,36.7854245,-119.77321,7.0,,,0.0
2023-06-07 21:30:00,1686198900.0,12.298333333333332,8.225,13.08,0.1666666666666666,0.0,22.416666666666668,53.2,36.785404,-119.77314116666666,4.5,,,0.0
2023-06-07 22:30:00,1686202500.0,12.295,8.075000000000001,13.148333333333332,0.1333333333333333,0.1,22.28333333333333,54.06666666666666,36.78540316666667,-119.77307766666668,9.5,-68.40112414392645,68.53445747725979,1.2295
2023-06-07 23:30:00,1686206100.0,12.345,8.326666666666666,13.231666666666667,0.1666666666666666,0.1333333333333333,22.133333333333336,54.88333333333333,36.7854215,-119.77318333333334,5.5,-66.30912101983435,66.47578768650102,1.6459999999999997
2023-06-08 00:30:00,1686209700.0,12.266666666666666,8.071666666666667,13.185,0.1,0.0666666666666666,22.066666666666663,54.98333333333333,36.78543083333333,-119.77321866666666,7.8,-71.26015329816929,71.36015329816928,0.8177777777777768
2023-06-08 01:30:00,1686213300.0,12.303333333333333,8.108333333333333,13.083333333333334,0.0666666666666666,0.0,21.46666666666667,58.15,36.78542766666667,-119.77326983333334,6.3,,,0.0
2023-06-08 02:30:00,1686216900.0,6.171666666666667,4.196666666666666,6.723333333333334,0.0333333333333333,0.0333333333333333,20.0,61.26666666666667,36.7854505,-119.77315649999998,2.7,-75.94147944024655,75.97481277357988,0.205722222222222
2023-06-08 03:30:00,1686220500.0,4.548333333333333,2.9866666666666664,5.011666666666667,0.0333333333333333,0.0,19.3,63.86666666666667,36.785425833333335,-119.773141,4.2,,,0.0
2023-06-08 04:30:00,1686224100.0,3.8216666666666663,2.41,4.14,0.0333333333333333,0.0333333333333333,18.383333333333336,65.2,36.78538816666667,-119.7731755,7.5,-75.94147944024655,75.97481277357988,0.12738888888888875
2023-06-08 05:30:00,1686227400.0,3.992,2.506,4.414,0.0,0.0,17.8,66.06,36.7853478,-119.7731476,4.1,,,0.0
2023-06-08 09:30:00,1686243001.0,7.89,4.81,11.23,0.0,0.0,21.4,57.1,36.785366,-119.773117,7.4,,,0.0
2023-06-08 10:30:00,1686245101.0,12.178333333333333,7.915,13.2,0.0666666666666666,0.0333333333333333,22.58333333333333,54.7,36.78543416666667,-119.7731525,7.8,-75.92572290797685,75.99238957464351,0.405944444444444
2023-06-08 11:30:00,1686249001.0,11.14,7.531999999999999,12.016,0.16,0.08,25.16,47.58,36.785354,-119.7731918,7.8,-69.9634201673449,70.1234201673449,0.8912000000000001
2023-06-08 12:30:00,1686252301.0,10.88,7.741666666666667,11.556666666666668,0.1,0.0,26.65,44.0,36.78539266666667,-119.77316183333332,6.1,,,0.0
2023-06-08 13:30:00,1686255901.0,12.773333333333332,9.383333333333333,13.438333333333333,0.0666666666666666,0.0333333333333333,27.316666666666663,42.41666666666666,36.785418666666665,-119.773163,4.8,-75.92572290797685,75.99238957464351,0.42577777777777726
2023-06-08 14:30:00,1686259501.0,12.6,9.433333333333334,13.246666666666668,0.2,0.1333333333333333,27.666666666666668,41.45,36.785404166666666,-119.77316933333331,12.9,-66.29151570333752,66.49151570333753,1.6799999999999995
