date_time,unixtime,m_PM25_CF1,m_PM1_CF1,m_PM10_CF1,tempC_pms,rh_pms,temp_C,rh,lat,lon,reference,dew_point,temp_minus_dew_point,pm_rh_interaction,pm_calibrated_clarityremake,pm_calibrated_twovar,omega,pm_calibrated_clarity,pm_calibrated_epa_barkjohn
2023-10-04 17:30:00,1696465501.0,8.166666667,6.333333333,8.666666667,28.83333333,27.16666667,31.16666667,27.33333333,36.63431117,-120.3823623,5.8,10.133945136311812,21.03272153368819,223.2222222041111,7.013214729394149,6.198530861425578,0.459166666665,7.517049639970268,7.647499999889999
2023-10-04 18:30:00,1696469101.0,8.666666667,6.666666667,9.0,27.33333333,29.0,29.66666667,29.0,36.63426167,-120.382384,5.0,9.734955577709282,19.93171109229072,251.333333343,7.100503730140618,6.281285814096057,0.456666666665,7.69798065044227,7.75166666684
2023-10-04 19:30:00,1696472701.0,9.0,6.833333333,9.666666667,24.5,32.66666667,26.5,34.66666667,36.63429383,-120.3824197,2.9,9.646083880775,16.853916119224998,312.00000002999997,6.813727509865351,6.236716484284866,0.455,7.901001446154808,7.613333333049999
2023-10-04 20:30:00,1696476301.0,13.83333333,10.5,14.83333333,21.83333333,40.0,22.83333333,44.5,36.63426133,-120.3823877,4.5,10.104223286312578,12.72911004368742,615.583333185,7.455359955178042,8.497786540198312,0.43083333335,9.88749483398328,9.5033333316
2023-10-04 21:30:00,1696480050.0,15.25,11.875,16.0,19.75,44.0,21.25,48.0,36.63427163,-120.3823824,3.6,9.793917576076232,11.456082423923768,732.0,7.676844747101719,8.084909833823545,0.42375,10.17519610729113,9.9
2023-10-04 22:30:00,1696484100.0,12.33333333,9.5,13.16666667,19.0,44.83333333,21.0,47.16666667,36.634215,-120.382352,2.4,9.30433452870812,11.69566547129188,581.7222221061111,6.559725447570798,7.034970644291752,0.43833333334999997,8.818175320798574,8.312499998549999
2023-10-04 23:30:00,1696487700.0,11.83333333,9.0,12.33333333,18.5,45.5,20.0,49.16666667,36.63425233,-120.3823445,2.4,9.005525436644957,10.994474563355043,581.8055554311111,6.155557496660345,6.745237080427998,0.44083333334999997,8.430172998656719,7.9958333316
2023-10-05 00:30:00,1696491300.0,12.16666667,9.166666667,13.0,18.0,46.66666667,18.5,52.16666667,36.63426983,-120.3823625,8.7,8.500266237981513,9.999733762018487,634.6944446588889,5.99145020400713,6.600846888425876,0.43916666665000004,8.543390541752427,8.07000000145
2023-10-05 01:30:00,1696494600.0,12.0,9.0,12.8,17.4,47.4,17.8,53.6,36.6342692,-120.3823942,8.3,8.251871171439433,9.548128828560568,643.2,5.782843588809596,6.397185506178512,0.44,8.390043635004847,7.921
2023-10-05 02:30:00,1696497901.0,13.0,9.666666667,13.83333333,16.83333333,48.33333333,17.66666667,55.16666667,36.63430783,-120.3823495,5.2,8.553375182628944,9.113291487371058,717.16666671,6.006161225380062,6.50176046752062,0.435,8.704977696070708,8.36166666695
2023-10-05 03:30:00,1696501501.0,13.33333333,10.0,14.0,16.0,47.5,16.16666667,53.83333333,36.63429333,-120.382342,2.2,6.798862313609787,9.367804356390215,717.7777775538889,6.279848382257872,6.776392771652922,0.43333333335,8.918397946542404,8.6058333316
2023-10-05 04:30:00,1696505401.0,15.57142857,11.71428571,16.42857143,15.0,47.85714286,15.28571429,55.71428571,36.63427529,-120.3823297,1.0,6.478784105875982,8.806930184124017,867.5510202618367,6.933837362936856,7.373261768111922,0.42214285715000005,9.83134235734634,9.7392857133
2023-10-05 05:30:00,1696509300.0,16.83333333,12.5,18.0,15.0,50.66666667,15.0,58.5,36.63426833,-120.3823305,1.5,6.922267199505451,8.077732800494548,984.7499998049999,7.075865765182696,7.163356258164416,0.41583333335,10.085715719956674,10.15666666465
2023-10-05 06:30:00,1696512900.0,16.0,12.16666667,17.0,14.0,51.66666667,13.83333333,60.16666667,36.63428867,-120.3823625,1.9,6.234400462110568,7.598932867889432,962.66666672,6.581392732933586,6.703746014952265,0.42,9.635539248648467,9.63833333305
2023-10-05 07:30:00,1696516500.0,15.83333333,11.83333333,16.66666667,14.16666667,54.0,14.5,62.33333333,36.6342625,-120.3823662,4.2,7.379325575602859,7.120674424397141,986.9444441838889,6.2623943979415095,6.164866633396411,0.42083333335,9.231243766808706,9.3533333316
2023-10-05 09:30:00,1696523701.0,12.5,9.75,13.25,24.25,35.75,25.25,38.5,36.6342805,-120.3823493,1.9,10.107433292350754,15.142566707649246,481.25,7.484239062683718,8.988050960430295,0.4375,9.551173680191834,9.17125
2023-10-05 10:30:00,1696527001.0,11.125,8.75,11.625,27.125,31.875,27.875,34.5,36.63427725,-120.3823493,5.3,10.781623742373307,17.093376257626694,383.8125,7.228805897921982,9.387243711341718,0.444375,9.020013359934545,8.785625
2023-10-05 11:30:00,1696530900.0,11.16666667,8.833333333,12.0,29.0,29.0,30.0,30.83333333,36.634308,-120.3823408,3.4,10.941653552060648,19.05834644793935,344.30555562111107,7.574343056728522,10.002093504581794,0.44416666665,9.247113009804098,9.0516666684
2023-10-05 12:30:00,1696534500.0,11.0,8.5,11.33333333,30.5,27.33333333,31.66666667,28.83333333,36.63429883,-120.3823382,2.6,11.3652785547695,20.301388115230502,317.16666663,7.6606824212622096,10.301259121297164,0.445,9.03184737734475,9.106666666950002
2023-10-05 13:30:00,1696538100.0,8.833333333,7.166666667,9.333333333,31.33333333,25.66666667,32.66666667,26.83333333,36.634297,-120.38237,6.0,11.133275363151471,21.53339130684853,237.02777773938888,7.416033477174275,6.469813755945818,0.455833333335,7.991037953706889,8.12166666621
2023-10-05 14:30:00,1696541400.0,7.8,6.2,8.2,32.2,24.6,33.8,25.2,36.634292,-120.3823562,4.8,11.144891892160137,22.655108107839858,196.56,7.042621676560108,6.18771354522783,0.461,7.341550762283224,7.675
2023-10-05 15:30:00,1696544701.0,6.666666667,5.333333333,7.166666667,32.5,23.83333333,34.16666667,23.83333333,36.634297,-120.3823522,3.4,10.613212084567651,23.55345458543235,158.8888888746111,6.604377334569227,5.861860717295732,0.466666666665,6.706267690880459,7.1508333337900005
2023-10-05 16:30:00,1696548301.0,5.333333333,4.166666667,5.833333333,32.0,23.33333333,34.16666667,23.16666667,36.6342665,-120.3823765,4.0,10.18754618760854,23.97912048239146,123.55555556561112,5.986922423398112,5.462103467837896,0.473333333335,5.9254400015755895,6.50000000011
2023-10-05 17:30:00,1696552050.0,5.875,4.625,6.0,31.0,24.875,33.875,24.0,36.6343065,-120.3823769,5.5,10.473542235630747,23.401457764369255,141.0,6.19781780164095,5.569889084190748,0.470625,6.0881722804251135,6.650625
2023-10-05 18:30:00,1696556100.0,7.333333333,6.166666667,8.333333333,28.83333333,28.33333333,31.16666667,28.66666667,36.63429883,-120.3823712,5.7,10.849055754120995,20.31761091587901,210.2222222371111,6.609060972467433,5.888328971451033,0.463333333335,7.252165538541588,7.11500000011
