date_time,pm_calibrated_clarityremake,pm_calibrated_twovar,reference
2023-06-22 00:30:00,4.17300591974734,4.117704858302506,2.6
2023-06-22 01:30:00,4.111757117201537,4.177464229791331,2.5
2023-06-22 02:30:00,4.0952787059930165,4.254351385918284,4.0
2023-06-22 03:30:00,3.7427030035039843,3.894674939739966,3.4
2023-06-22 04:30:00,3.8530556134555125,4.040302135100619,4.1
2023-06-22 05:30:00,4.054694977840877,4.321962548216978,6.8
2023-06-22 06:30:00,3.888474132730809,4.0893297298859075,4.3
2023-06-22 07:30:00,3.9946157854446644,4.114510775014337,3.8
2023-06-22 08:30:00,4.067036536646801,4.163687757069269,5.0
2023-06-22 09:30:00,4.105349783273547,4.108409674430432,4.4
2023-06-22 10:30:00,4.318729378481501,4.1884314469473685,3.5
2023-06-22 11:30:00,4.554263703208265,4.270443004504921,3.4
2023-06-22 12:30:00,4.8159809726952565,4.30096728404076,3.5
2023-06-22 13:30:00,5.182729010091026,4.389005057520675,2.4
2023-06-22 14:30:00,5.186519733536486,4.372106823331312,3.3
2023-06-22 15:30:00,5.231921775896573,4.468401377995653,7.5
2023-06-22 16:30:00,5.153961461734332,4.467615745136794,5.1
2023-06-22 17:30:00,5.145228945636039,4.477441034838114,3.2
2023-06-22 18:30:00,5.3319242048727675,4.618733774255188,1.7
2023-06-22 19:30:00,4.979815883861076,4.57977543599922,0.9
2023-06-22 20:30:00,4.731471057298928,4.646507858303129,4.0
2023-06-22 21:30:00,4.1724249204716495,4.212552566799655,3.3
2023-06-22 22:30:00,3.8934301877277386,3.962061083595099,1.1
2023-06-22 23:30:00,3.839641642275729,3.936696326938419,2.3
2023-06-23 00:30:00,3.8467237989935024,3.9942387642115174,3.5
2023-06-23 01:30:00,3.6368740075342663,3.768136946977104,2.5
2023-06-23 02:30:00,3.627468263571564,3.7795975392884573,2.3
2023-06-23 03:30:00,3.533524874603221,3.632447109009204,2.5
2023-06-23 04:30:00,3.4693328264878884,3.488929064902531,1.8
2023-06-23 05:30:00,3.6349647487121652,3.680166759322779,1.7
2023-06-23 06:30:00,3.431444263918409,3.2622503384157833,1.0
2023-06-23 07:30:00,3.4107922513301903,3.3004733229003924,-0.1
2023-06-23 08:30:00,3.5258919207140034,3.51215167780407,1.5
2023-06-23 09:30:00,3.675694274996247,3.6835999369536685,2.3
2023-06-23 10:30:00,4.0196654563588305,3.9435137894646246,1.0
2023-06-23 11:30:00,4.4202011253319595,4.147280112005276,0.2
2023-06-23 12:30:00,4.691583996791878,4.2390537141060936,-0.7
2023-06-23 13:30:00,5.041880701358081,4.406300537295719,2.4
2023-06-23 14:30:00,5.1324138120112925,4.405635918698249,2.5
2023-06-23 15:30:00,4.975869973729435,4.312079569914459,3.4
2023-06-23 16:30:00,4.978159411618223,4.2962370987965635,4.4
