date_time,Unnamed: 0,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,dew_point,temp_minus_dew_point,pm_rh_interaction,week,month,PM_calibrated_ClarityRemake,PM_calibrated_Basic,omega,PM_calibrated_Clarity,PM_calibrated_EPA_Piecewise,PM_calibrated_EPA_Barkjohn
2023-06-15 10:30:00,581.0,1686852000.0,7.03,7.03,4.73,9.91,9.91,4.98,4.98,10.18,10.18,4.99,1433.35,396.27,32.21,62.38,37.02,2.75,37.17,37.18,28.4,34.4,37.19,0.41,28.4,33.5,41.6,32.5,17.67,58.6,0.9,36.785339,-119.772995,78.644997,7.0,436.0,58.0,1.0,11.198591592027972,17.201408407972025,340.904,24,6,8.875824754054126,8.690447652131358,0.45045,8.006542692650626,7.97756,7.9392
2023-06-15 11:30:00,622.5,1686854100.0,6.96,6.96,4.406666666666666,9.848333333333334,9.848333333333334,4.623333333333334,4.623333333333334,10.29,10.29,4.623333333333334,1433.2733333333333,393.9316666666667,127.75166666666668,62.44,34.49333333333333,3.45,34.63,34.63166666666667,29.75,32.25,34.63666666666666,0.375,29.58333333333333,34.550000000000004,39.51666666666667,31.683333333333334,43.67416666666667,97.96666666666664,1.6833333333333331,36.78532716666667,-119.77299616666666,62.8574995,6.166666666666667,599.8333333333334,58.0,1.0,11.40283755668526,18.34716244331474,317.60875000000004,24,6,9.041972325774388,8.894205198319854,0.45075833333333337,8.102548541711041,8.130576666666668,8.089883333333333
2023-06-15 12:30:00,688.8333333333334,1686857700.0,6.6000000000000005,6.6000000000000005,4.29,9.361666666666666,9.361666666666666,4.5,4.5,9.743333333333332,9.743333333333332,4.5,1368.9633333333334,376.0133333333333,308.03833333333336,58.24166666666667,33.56333333333333,3.3316666666666666,33.695,33.70333333333333,31.25,30.183333333333334,33.70333333333333,0.375,31.25,36.38333333333333,36.8,29.6,50.27616666666666,122.71666666666664,1.0,36.785359166666666,-119.773084,73.3569995,6.166666666666667,600.0,58.0,1.0,11.69957351485627,19.55042648514373,282.5663055555556,24,6,9.02348364394322,8.929492859634548,0.45319166666666666,7.898514999346944,8.05371,8.012483333333332
2023-06-15 13:30:00,753.5,1686861300.0,6.136666666666667,6.136666666666667,3.5383333333333336,8.518333333333333,8.518333333333333,3.7066666666666666,3.7066666666666666,8.865,8.865,3.7066666666666666,1275.6566666666663,350.6983333333333,463.52,51.98166666666666,27.67,2.9066666666666667,27.78,27.785,32.28333333333333,28.916666666666668,27.786666666666665,0.38,32.5,37.61666666666667,35.21666666666667,28.516666666666666,53.8685,150.11666666666667,1.0,36.785380833333335,-119.77304333333332,78.4421665,4.5,599.8333333333334,58.0,1.0,11.93792429074198,20.345409042591356,246.3218055555556,24,6,8.832211879974537,8.746341767978036,0.45740833333333336,7.498588301870611,7.72099,7.681616666666667
2023-06-15 14:30:00,820.8333333333334,1686864900.0,6.375,6.375,3.3316666666666666,8.655,8.655,3.4966666666666666,3.4966666666666666,9.018333333333333,9.018333333333333,3.4966666666666666,1335.015,363.5,603.5783333333333,51.620000000000005,26.095,2.5683333333333334,26.19833333333333,26.201666666666668,33.1,28.133333333333336,26.203333333333333,0.3716666666666666,33.36666666666667,38.46666666666667,34.516666666666666,28.08333333333333,55.60733333333334,185.41666666666663,1.0,36.78549116666667,-119.77299866666664,87.04466716666667,5.833333333333333,599.8333333333334,58.0,1.0,12.21956444434109,20.880435555658917,243.494,24,6,9.022963700139025,8.880366470793104,0.456725,7.608607289477927,7.860126666666666,7.819266666666666
2023-06-15 15:30:00,887.1666666666666,1686868500.0,5.833333333333333,5.833333333333333,3.186666666666667,8.043333333333333,8.043333333333333,3.34,3.34,8.334999999999999,8.334999999999999,3.34,1239.2833333333333,337.8433333333333,735.94,49.251666666666665,24.92,2.4883333333333333,25.02,25.021666666666665,32.666666666666664,28.266666666666666,25.02333333333333,0.375,33.65,37.9,33.36666666666667,28.266666666666666,56.04966666666667,138.15,1.0,36.7854595,-119.77309533333332,83.6935,4.5,599.8333333333334,58.0,1.0,11.920998410199108,20.74566825646756,227.3582222222222,24,6,8.698217616844065,8.636487778457202,0.4597833333333333,7.25244762060686,7.5281199999999995,7.489866666666667
2023-06-15 16:30:00,789.1666666666666,1686872100.0,6.048333333333333,6.048333333333333,3.35,8.313333333333333,8.313333333333333,3.515,3.515,8.658333333333333,8.658333333333333,3.515,1271.4883333333337,346.5683333333333,868.2483333333333,50.1,26.21,2.6983333333333337,26.315,26.316666666666663,32.1,28.8,26.316666666666663,0.3699999999999999,33.7,37.11666666666667,33.18333333333333,29.066666666666663,58.2335,91.31666666666666,1.0,36.78540666666667,-119.77308133333334,78.63316733333333,6.5,599.8333333333334,58.0,1.0,11.719366414837085,20.38063358516292,239.424,24,6,8.77622550621836,8.681636210170964,0.45843333333333336,7.40790669623323,7.6236266666666666,7.584933333333333
2023-06-15 17:30:00,43.833333333333336,1686875700.0,6.596666666666667,6.596666666666667,3.678333333333333,9.083333333333334,9.083333333333334,3.856666666666667,3.856666666666667,9.396666666666668,9.396666666666668,3.856666666666667,1370.2716666666663,375.425,1015.0266666666666,54.93666666666667,28.781666666666663,2.91,28.891666666666666,28.898333333333337,31.066666666666663,30.433333333333334,28.901666666666667,0.3699999999999999,33.4,35.68333333333333,34.06666666666667,31.08333333333333,60.93416666666667,49.93333333333334,1.8833333333333333,36.785376166666666,-119.77311333333334,74.95583483333333,4.666666666666667,599.8333333333334,58.0,1.0,11.666366496411808,19.40030017025486,276.4361111111112,24,6,8.959624517783329,8.798535103315174,0.45458333333333334,7.762273184502483,7.886313333333334,7.846500000000001
2023-06-15 18:30:00,109.66666666666669,1686879300.0,8.19,8.19,3.9616666666666656,11.01,11.01,4.156666666666667,4.156666666666667,11.35,11.35,4.156666666666667,1649.5316666666668,450.7283333333333,1166.865,63.31666666666666,31.001666666666665,2.865,31.125,31.126666666666665,30.0,33.2,31.12833333333333,0.3583333333333333,32.63333333333333,34.300000000000004,36.8,34.416666666666664,60.11183333333333,37.11666666666667,2.283333333333333,36.785418666666665,-119.77311066666664,80.09933316666667,5.666666666666667,600.0,58.0,1.0,12.060884004265354,17.939115995734646,365.5319999999999,24,6,9.609666041619176,9.230378680458385,0.44494999999999996,8.680744242647721,8.657399999999999,8.613199999999999
2023-06-15 19:30:00,173.0,1686882900.0,8.311666666666667,8.311666666666667,3.986666666666667,11.135,11.135,4.18,4.18,11.553333333333333,11.553333333333333,4.18,1652.54,454.9883333333333,1334.2716666666663,64.08166666666666,31.19333333333333,3.0966666666666662,31.316666666666663,31.32166666666667,28.133333333333336,36.75,31.32166666666667,0.355,31.1,31.883333333333336,40.083333333333336,38.71666666666667,52.783166666666666,22.116666666666664,3.0,36.78537683333334,-119.77307266666666,81.9379985,6.166666666666667,599.8333333333334,58.0,1.0,11.964436221185313,16.168897112148024,409.21125,24,6,9.32942756342641,8.902649985549518,0.44432499999999997,8.588943617297454,8.41689,8.37645
