date_time,unixtime,m_PM25_CF1,m_PM1_CF1,m_PM10_CF1,tempC_pms,rh_pms,temp_C,rh,lat,lon,reference,dew_point,temp_minus_dew_point,pm_rh_interaction,pm_calibrated_clarityremake,residual,z_residual,pm_calibrated_twovar,omega,pm_calibrated_clarity,pm_calibrated_epa_barkjohn
2023-06-15 10:30:00,1686852000.0,9.91,7.03,10.18,28.4,34.4,28.4,41.6,36.785339,-119.772995,7.8,11.198591592027972,17.201408407972025,340.904,7.638684287976727,-0.35334453950941835,-0.052789370776038964,7.4466554604905815,0.45045,8.006542692650626,7.9392
2023-06-15 11:30:00,1686854100.0,9.848333333333334,6.96,10.29,29.75,32.25,29.58333333333333,39.51666666666667,36.78532716666667,-119.77299616666666,8.3,11.40283755668526,18.34716244331474,317.60875000000004,7.637608462952178,-0.8017949961917115,-0.15201735607124128,7.498205003808289,0.45075833333333337,8.102548541711041,8.089883333333333
2023-06-15 12:30:00,1686857700.0,9.361666666666666,6.6000000000000005,9.743333333333332,31.25,30.183333333333334,31.25,36.8,36.785359166666666,-119.773084,10.3,11.69957351485627,19.55042648514373,282.5663055555556,7.402800358624585,-2.9628439175898,-0.630189531836514,7.337156082410201,0.45319166666666666,7.898514999346944,8.012483333333332
2023-06-15 13:30:00,1686861300.0,8.518333333333333,6.136666666666667,8.865,32.28333333333333,28.916666666666668,32.5,35.21666666666667,36.785380833333335,-119.77304333333332,8.4,11.937924290741979,20.345409042591353,246.32180555555556,6.995205071026719,-1.430131547849383,-0.2910484779694997,6.969868452150617,0.45740833333333336,7.498588301870612,7.681616666666667
2023-06-15 14:30:00,1686864900.0,8.655,6.375,9.018333333333333,33.1,28.133333333333336,33.36666666666667,34.516666666666666,36.78549116666667,-119.77299866666664,12.2,12.21956444434109,20.880435555658913,243.494,7.073257514679724,-5.132935016597662,-1.1103624571907984,7.067064983402338,0.456725,7.608607289477928,7.819266666666666
2023-06-15 15:30:00,1686868500.0,8.043333333333333,5.833333333333333,8.334999999999999,32.666666666666664,28.266666666666666,33.65,33.36666666666667,36.7854595,-119.77309533333332,10.3,11.920998410199108,20.745668256467557,227.3582222222222,6.761179709367278,-3.5394206851882286,-0.7577678410216124,6.760579314811772,0.4597833333333333,7.252447620606861,7.489866666666667
2023-06-15 16:30:00,1686872100.0,8.313333333333333,6.048333333333333,8.658333333333333,32.1,28.8,33.7,33.18333333333333,36.78540666666667,-119.77308133333334,8.3,11.719366414837083,20.38063358516292,239.42399999999998,6.908224989334878,-1.4267010137901828,-0.29028940864955877,6.873298986209818,0.45843333333333336,7.40790669623323,7.584933333333333
2023-06-15 17:30:00,1686875700.0,9.083333333333334,6.596666666666667,9.396666666666668,31.066666666666663,30.433333333333334,33.4,34.06666666666667,36.785376166666666,-119.77311333333334,11.1,11.666366496411802,19.40030017025486,276.43611111111113,7.291600677973978,-3.9095226965441388,-0.8396597789008656,7.190477303455861,0.45458333333333334,7.762273184502483,7.846500000000001
2023-06-15 18:30:00,1686879300.0,11.01,8.19,11.35,30.0,33.2,32.63333333333333,36.8,36.785418666666665,-119.77311066666664,13.0,12.060884004265358,17.939115995734642,365.53200000000004,7.875177748679286,-4.7590541489869125,-1.0276343772421137,8.240945851013088,0.44494999999999996,8.680744242647721,8.613199999999999
2023-06-15 19:30:00,1686882900.0,11.135,8.311666666666667,11.553333333333333,28.133333333333336,36.75,31.1,40.083333333333336,36.78537683333334,-119.77307266666666,12.2,11.964436221185313,16.168897112148024,409.21125,7.558390106707526,-4.510623899892615,-0.9726645745879119,7.689376100107384,0.44432499999999997,8.588943617297454,8.37645
2023-06-15 20:30:00,1686886500.0,10.971666666666666,8.15,11.438333333333333,26.5,40.43333333333334,29.58333333333333,43.78333333333333,36.78539283333333,-119.773061,16.4,11.96210682429044,14.53789317570956,443.6210555555556,7.030763132085058,-9.409751290804167,-2.056687421395036,6.990248709195831,0.44514166666666666,8.29773899913494,7.978433333333333
2023-06-15 21:30:00,1686890100.0,11.955,8.716666666666667,12.355,25.366666666666664,43.61666666666667,28.4,47.16666666666666,36.785411333333336,-119.77308766666664,7.6,12.094590464953146,13.272076201713517,521.4372500000001,7.0143483895399505,-0.7272209983264206,-0.13551647519729454,6.872779001673579,0.44022500000000003,8.500038045251344,8.219183333333334
2023-06-15 22:30:00,1686893700.0,11.891666666666666,8.771666666666667,12.338333333333331,24.433333333333334,44.76666666666667,27.366666666666664,48.35,36.78540916666667,-119.77309416666668,10.2,11.64480367463281,12.788529658700524,532.3502777777778,6.835057775586689,-3.55084120814574,-0.7602948436530186,6.649158791854259,0.44054166666666666,8.424243141022739,8.0885
2023-06-15 23:30:00,1686897300.0,9.788333333333332,6.9816666666666665,10.261666666666668,23.15,45.98333333333333,25.566666666666663,50.45,36.78540233333333,-119.77306616666668,11.4,10.884177004452063,12.265822995547936,450.10019444444436,7.147911591068853,-4.4547369667635035,-0.9602985535568346,6.945263033236497,0.45105833333333334,7.360801156135661,6.891349999999999
2023-06-16 00:30:00,1686900900.0,7.960000000000001,5.425,8.566666666666666,21.71666666666667,48.85,23.766666666666666,54.38333333333333,36.78544233333333,-119.77311333333334,8.9,10.484249904234774,11.232416762431894,388.84600000000006,6.04225719833597,-2.964913414514249,-0.6306474464340527,5.9350865854857515,0.46019999999999994,6.370604542476864,5.69695
