date_time,pm_calibrated_clarityremake,pm_calibrated_twovar,reference
2023-06-07 15:30:00,8.667036221224667,9.42471912737959,12.2
2023-06-07 16:30:00,10.522203094903647,10.846908755176898,8.7
2023-06-07 17:30:00,11.502894331139807,11.855162697446698,7.5
2023-06-07 18:30:00,10.195692790273617,10.632261358519223,9.7
2023-06-07 19:30:00,8.206295124381866,8.834134186900986,8.5
2023-06-07 20:30:00,7.937463458936778,8.514690679808425,7.0
2023-06-07 21:30:00,6.780474686296521,7.5339134237040195,4.5
2023-06-07 22:30:00,6.32760321887658,7.176310583960452,9.5
2023-06-07 23:30:00,6.413228348702637,7.1662281032986,5.5
2023-06-08 00:30:00,6.165898364182514,6.907176843593766,7.8
2023-06-08 01:30:00,5.987777040772377,6.500066929855798,6.3
2023-06-08 02:30:00,5.453363609978072,5.340606671467031,2.7
2023-06-08 03:30:00,4.416553311199089,4.351332745583239,4.2
2023-06-08 04:30:00,3.8440306946741547,3.7864129110553186,7.5
2023-06-08 05:30:00,4.0125881327822945,3.9498480798103586,4.1
2023-06-08 06:30:00,3.736867172728033,3.688255481703982,2.2
2023-06-08 07:30:00,3.748963927646426,3.7170187399705696,2.5
2023-06-08 08:30:00,4.116276916819347,4.062492278350346,2.4
2023-06-08 09:30:00,5.361576618073546,5.270683215685937,7.4
2023-06-08 10:30:00,6.436015813091491,8.012913298972581,7.8
2023-06-08 11:30:00,5.797816776109248,8.314556706108338,7.8
2023-06-08 12:30:00,6.026935587374595,8.85663731221855,6.1
2023-06-08 13:30:00,7.52661646127029,9.768049078005518,4.8
2023-06-08 14:30:00,7.692683042277969,9.797525313179424,12.9
2023-06-08 15:30:00,6.918047987651604,9.630477134571962,10.9
2023-06-08 16:30:00,6.183819038505609,9.386355320299378,7.6
2023-06-08 17:30:00,6.9400296511779604,9.312886945304777,7.9
2023-06-08 18:30:00,6.404605416267978,9.079541334686247,9.4
2023-06-08 19:30:00,5.484781862986481,8.021803154272327,7.1
2023-06-08 20:30:00,5.704943553493836,7.458703005750152,11.0
2023-06-08 21:30:00,7.01114454159085,7.933030547539824,11.8
2023-06-08 22:30:00,5.37020842037202,6.41807576282158,8.6
2023-06-08 23:30:00,6.994134349754322,6.809544428081448,6.9
2023-06-09 00:30:00,6.623357541089052,6.490909933044869,4.1
2023-06-09 01:30:00,5.286627523484091,5.197328340136297,5.3
2023-06-09 02:30:00,5.136799269928312,5.058517152152241,4.2
2023-06-09 03:30:00,5.080669047373396,5.014392065659106,6.1
2023-06-09 04:30:00,5.203051922036197,5.186544341702032,4.7
2023-06-09 05:30:00,6.230347417262398,6.196022213690108,2.3
2023-06-09 06:30:00,6.290462670282013,6.377914812646695,4.9
2023-06-09 09:30:00,5.728784954647427,5.684192737944299,4.3
2023-06-09 10:30:00,5.8643852732306785,5.741621436823458,4.1
2023-06-09 11:30:00,6.158194052260335,6.021386326635964,6.8
2023-06-09 12:30:00,6.1030814521224075,6.0193953465219945,7.1
2023-06-09 13:30:00,6.675758583563479,6.611157959507865,6.5
2023-06-09 14:30:00,6.5757739588655575,6.490470642546848,4.4
2023-06-09 15:30:00,6.348557030483166,6.255845307042565,4.7
2023-06-09 16:30:00,6.426017960249645,6.343490284300079,7.2
2023-06-09 17:30:00,6.896567416455607,6.801025485346053,9.7
2023-06-09 18:30:00,7.06798676855738,6.96320970369315,9.0
2023-06-09 19:30:00,7.073565542869669,6.917157865710225,10.1
2023-06-09 20:30:00,6.966763334798968,6.822629559344888,7.4
2023-06-09 21:30:00,6.093171388587186,5.940818839076554,5.3
2023-06-09 22:30:00,5.508173291366123,5.387129406726244,11.5
2023-06-09 23:30:00,4.999228921078505,4.8372784253207435,7.7
2023-06-10 00:30:00,5.393974292667352,5.308753161177918,11.6
2023-06-10 01:30:00,4.75509394839276,4.71554206494097,6.9
2023-06-10 02:30:00,4.340882436449756,4.273732272578762,3.5
2023-06-10 03:30:00,4.059763752422636,4.002226634570081,2.3
2023-06-10 04:30:00,3.8276275613947663,3.8024655347316076,2.7
2023-06-10 05:30:00,4.080467271352739,4.074454505464101,1.6
2023-06-10 06:30:00,4.095451966658752,4.0655626281161,-0.1
2023-06-10 07:30:00,4.08875922331075,4.040828611758069,1.8
2023-06-10 08:30:00,4.10599446797281,4.063043014164341,3.2
2023-06-10 09:30:00,5.683408104546202,5.526563503574929,4.4
2023-06-10 10:30:00,5.35670132395762,5.190976192947385,8.5
2023-06-10 11:30:00,5.815455349828811,5.60858666526597,12.2
2023-06-10 12:30:00,4.726422155634939,4.636368023689912,7.7
2023-06-10 13:30:00,4.0793830729625284,4.064657182505343,3.7
2023-06-10 14:30:00,4.279850324364148,4.29663356528344,3.6
2023-06-10 15:30:00,4.857749945628708,4.88720330013815,4.0
2023-06-10 16:30:00,7.007463998816707,7.030771123133574,4.6
2023-06-10 17:30:00,4.847910907671937,4.867202189930003,2.7
2023-06-10 18:30:00,5.37642142125066,5.327094843315785,3.5
2023-06-10 19:30:00,5.603587182778464,5.51875241856659,7.3
2023-06-10 20:30:00,5.790952470552251,5.7005748175231705,7.9
2023-06-10 21:30:00,6.285151389845799,6.149750388071233,7.3
2023-06-10 22:30:00,6.056481866320473,5.922254337561412,7.7
2023-06-10 23:30:00,5.782921992989095,5.6711127393595415,5.8
2023-06-11 00:30:00,5.897492915894149,5.773510806487673,5.1
2023-06-11 01:30:00,6.397488746618754,6.284965423036183,4.0
2023-06-11 02:30:00,5.920302514680102,5.852642611394007,7.6
2023-06-11 03:30:00,6.380903471261881,6.297452443825214,10.7
