range,m_PM25_b,rh_sen5x,m_PM1_b,temp_minus_dew_point,pm_rh_interaction,intercept
10 and under,0.6810588856811997,-0.04540827277616299,0.6461227584041701,-0.0586855737829382,-0.008375140507360067,5.255222181987791
10+,0.314712148475442,-0.3962728700008773,0.5474814748026419,-1.2287735512627627,0.0003296385253280097,31.760475722429934
