range,m_PM25_b,rh_sen5x,m_PM1_b,temp_minus_dew_point,pm_rh_interaction,intercept
10 and under,0.7080312656642498,-0.01980629363296921,0.6145666374606691,0.049924423899643446,-0.010032949889352993,2.798659126717576
10+,0.22885136134726572,-0.382697115387827,-0.003643853508320269,-0.8180756186712048,0.00632139650758489,30.811376097836067
