range,m_PM25_b,rh_sen5x,m_PM1_b,temp_minus_dew_point,pm_rh_interaction,intercept
10 and under,0.4744646241784259,-0.004205201941082122,0.45093178373512305,0.05608348839374796,-0.00782799013259321,2.6095538945422283
10+,0.658682727873524,-0.046817450501490415,0.3822265232482088,-0.10997645425660726,-0.007012066762832752,5.019003215772095
