range,m_PM25_b,rh_sen5x,m_PM1_b,temp_minus_dew_point,pm_rh_interaction,intercept
10 and under,0.5018052109924046,0.020791380506034546,0.5518062800625378,-0.0015913376854881389,-0.005810013960244527,-0.48344401479521526
10+,0.12947893268273514,-0.41702690022217304,0.7641528685622315,-1.2679302523998766,0.0009198529358693936,32.33666119786372
