unixtime,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,temp_C,rh,o3,lat,lon,coreid,C1_T,C2_rh,C3_o3,b,o3_cal
1760825400,20,20,13,22,22,13,27,34,0.0,36.037575,-120.173172,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1760825400,22,22,14,22,22,14,27,35,49.291,36.005253,-120.117287,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,35.238021559271
1760826000,26,26,13,26,26,13,30,32,218.508,36.139107,-120.368362,e00fce682bbf742cd0b6768a,0.576134442,0.318332836,0.85992166,-25.50959952,189.86084657528
1760826001,29,27,14,29,29,14,0,0,37.907,36.138988,-120.368362,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,13.194239470504996
1760826000,28,27,15,28,28,15,29,34,67.215,36.138885,-120.368561,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,59.210447601495005
1760826001,25,25,15,26,26,15,30,34,46.37,36.139027,-120.368279,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,46.55029746283001
1760826000,19,19,13,20,20,13,27,33,0.0,36.037521,-120.17318,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1760826000,23,23,15,24,24,15,27,34,49.947,36.005276,-120.117279,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,35.457587581607
1760826000,23,23,6,24,24,6,29,35,30.743,36.138939,-120.368332,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,36.641146749453
1760826600,23,23,6,23,23,6,28,36,32.264,36.139065,-120.368378,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,36.677840317344
1760826600,25,25,13,25,25,13,30,34,513.768,36.139076,-120.36834,e00fce682bbf742cd0b6768a,0.576134442,0.318332836,0.85992166,-25.50959952,444.39798157888
1760826601,27,27,13,28,28,13,0,0,40.585,36.13913,-120.368347,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,15.067612183275
