unixtime,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,temp_C,rh,o3,lat,lon,coreid,C1_T,C2_rh,C3_o3,b,o3_cal
1760814000,45,39,31,48,46,31,25,43,44.825,36.005264,-120.117294,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,33.156150341325
1760814000,12,12,6,12,12,6,26,36,56.443,36.139034,-120.368347,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,50.400781113498994
1760814600,7,7,4,8,8,4,26,36,27.221,36.139019,-120.368362,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,32.084985362591
1760814600,15,15,8,16,16,8,26,36,59.032,36.138973,-120.368248,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,52.195774148176
1760814601,15,15,7,16,16,7,0,0,35.054,36.139008,-120.368378,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,11.19844695761
1760814600,17,17,9,19,19,9,26,33,0.0,36.037624,-120.173241,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1760814600,45,39,32,48,46,32,25,45,45.416,36.005287,-120.117317,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,34.128495815896
1760814601,11,11,8,12,12,8,27,36,41.998,36.139034,-120.368309,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,41.38265171708199
1760815200,14,14,7,14,14,7,27,34,59.248,36.139011,-120.368324,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,52.633900500864
1760815201,14,14,6,14,14,6,0,0,34.555,36.139133,-120.368179,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,10.849375641825
1760815201,9,9,7,9,9,7,28,34,41.045,36.139088,-120.36837,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,40.59830841415499
1760815200,15,15,7,16,16,7,26,33,0.0,36.037643,-120.173279,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1760815200,45,39,31,47,46,31,25,44,44.662,36.005245,-120.117401,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,33.302248227022
1760815200,6,6,3,6,6,3,27,35,27.132,36.139011,-120.368378,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,32.849162097172
1760815800,8,8,3,8,8,3,26,38,28.105,36.139019,-120.368286,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,32.723945994954995
1760815800,16,16,8,17,17,8,26,38,60.834,36.138912,-120.368347,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,53.683210333962
1760815801,16,16,7,17,17,7,0,0,36.039,36.139088,-120.368431,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,11.887495546885
1760815800,41,36,28,43,42,28,26,41,45.556,36.005245,-120.117401,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,33.617028667236
1760815800,11,11,5,11,11,5,26,29,0.0,36.03772,-120.173218,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1760815801,11,11,8,12,12,8,27,38,43.031,36.139179,-120.368347,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,43.132676097729
1760816401,19,19,9,19,19,9,0,0,35.626,36.138943,-120.368309,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,11.598584818589998
1760816400,12,12,4,12,12,4,27,38,27.501,36.139027,-120.368309,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,33.272384554471
1760816400,19,19,10,20,20,10,27,37,59.732,36.138992,-120.36834,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,53.326588366276
1760816401,17,17,10,18,18,10,28,37,41.241,36.139072,-120.368355,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,42.169730561119
1760816400,11,11,5,12,12,5,26,29,0.0,36.037663,-120.173203,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1760816400,37,34,25,38,38,25,26,38,45.876,36.005287,-120.117279,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,33.053385719156
1760817000,11,11,4,12,12,4,27,38,28.062,36.138977,-120.368385,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,33.586133325202
1760817001,19,19,9,19,19,9,0,0,34.791,36.138943,-120.368309,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,11.014467486564996
1760817000,19,19,10,20,20,10,27,36,59.678,36.139072,-120.368279,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,53.170108241854
1760817000,7,7,3,7,7,3,27,30,0.0,36.037739,-120.173218,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1760817000,34,32,23,35,35,23,26,43,45.541,36.005299,-120.117294,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,34.139896802520994
1760817001,16,16,9,17,17,9,28,36,41.236,36.139004,-120.36834,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,41.69288887532401
1760817600,23,23,12,24,24,12,27,38,62.479,36.139084,-120.368347,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,55.35016630544701
1760817601,22,22,11,23,23,11,0,0,36.837,36.139015,-120.368355,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,12.445729835455
1760817601,21,21,12,21,21,12,28,38,43.221,36.139004,-120.368347,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,44.183985240939
1760817600,35,32,23,36,36,23,26,39,45.265,36.005287,-120.117302,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,32.867196726965
1760817600,12,12,5,12,12,5,27,33,0.0,36.037621,-120.173103,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1760817600,18,18,5,18,18,5,27,38,28.835,36.138977,-120.368385,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,34.018446693784995
1760818200,22,22,6,22,22,6,27,39,28.959,36.139038,-120.368347,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,34.160080113189
1760818201,25,25,14,26,26,14,28,38,42.831,36.139011,-120.368408,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,43.880394826929
1760818201,27,26,12,28,28,12,0,0,37.498,36.139061,-120.368385,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,12.908126909069995
1760818200,27,27,14,28,28,14,27,39,63.018,36.139027,-120.368401,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,55.842904298474
1760818200,14,14,7,15,15,7,27,29,0.0,36.037621,-120.173103,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1760818200,39,35,25,41,41,25,26,40,44.932,36.005302,-120.11731,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,32.887203609892005
1760818800,35,33,19,37,37,19,27,39,62.396,36.13905,-120.368431,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,55.411662248428
1760818801,35,31,17,36,36,17,0,0,36.349,36.139042,-120.368301,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,12.104353478534996
1760818801,32,31,19,33,33,19,28,38,43.388,36.139011,-120.368355,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,44.313984213092006
1760818800,15,15,7,15,15,7,27,30,0.0,36.037609,-120.173134,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1760818800,33,32,21,35,35,21,27,38,44.629,36.005196,-120.117325,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,32.581151954249
1760818800,29,29,8,30,30,8,27,39,29.181,36.139008,-120.368332,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,34.284237380750994
1760819400,30,30,8,31,31,8,28,38,29.134,36.138927,-120.368408,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,35.071903328114004
1760819401,36,32,18,38,37,18,0,0,36.409,36.139084,-120.368385,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,12.146325981434998
1760819400,14,14,7,15,15,7,27,28,0.0,36.03756,-120.173172,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1760819400,34,32,22,35,35,22,27,38,45.357,36.005257,-120.117325,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,33.121118130817
1760819400,36,33,20,37,37,20,27,38,62.482,36.13905,-120.368431,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,55.352246251026
1760819401,34,32,20,35,35,20,28,37,44.17,36.139011,-120.368355,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,44.449772414030015
1760820000,38,34,21,39,39,21,28,37,63.128,36.138992,-120.368439,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,56.207539240704
1760820001,36,32,19,37,37,19,0,0,37.374,36.139084,-120.368462,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,12.82138373641
1760820001,34,32,21,35,35,21,28,37,44.326,36.139008,-120.368347,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,44.57120857963401
1760820000,13,13,7,14,14,7,27,30,0.0,36.037624,-120.173233,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
