,date_time,Unnamed: 0,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM4_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,tempC_sen5x,rh_sen5x,vocIdx,noxIdx,alt,sats,counter,moos,ver,C1_T,C2_rh,C3_o3,b,o3_cal,unixtime,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,temp_C,rh,o3,lat,lon
0,2025-06-02 23:30:00,2.0,2.0,2.0,2.0,2.0,789.0,187.0,698.0,25.0,15.0,1.0,15.0,15.0,34.0,10.0,15.0,1.0,38.0,17.0,4.0,3277.0,45.325001,6.0,599.0,58.0,3.0,,,,,,1748908800.0,3.0,3.0,2.0,3.0,3.0,2.0,35.0,17.0,65.007,36.78532,-119.773178
1,2025-06-03 00:30:00,36.0,1.8333333333333333,1.8333333333333333,2.0,2.1666666666666665,727.6666666666666,179.5,744.5,23.5,15.333333333333334,1.5,15.666666666666666,15.666666666666666,32.666666666666664,10.166666666666666,15.833333333333334,1.0,37.66666666666666,17.166666666666668,4.5,3277.0,81.33733383333333,5.333333333333333,599.1666666666666,58.0,3.0,,,,,,1748910900.0,2.833333333333333,2.833333333333333,2.0,3.333333333333333,3.333333333333333,2.333333333333333,34.5,16.5,64.589,36.785368166666665,-119.77310566666668
2,2025-06-03 01:30:00,96.0,2.0,2.0,2.0,3.0,790.1666666666666,190.16666666666663,829.0,28.0,17.333333333333332,1.6666666666666667,17.666666666666668,17.666666666666668,31.166666666666668,12.166666666666666,17.666666666666668,1.0,35.333333333333336,19.666666666666668,4.333333333333333,3277.0,71.65650066666667,6.333333333333333,599.0,58.0,3.0,,,,,,1748914500.0,3.5,3.5,2.5,3.6666666666666665,3.6666666666666665,3.0,33.333333333333336,19.166666666666668,64.37016666666666,36.78537966666666,-119.773126
3,2025-06-03 02:30:00,156.16666666666666,2.0,2.0,2.1666666666666665,3.0,847.1666666666666,189.0,920.5,28.33333333333333,18.83333333333333,2.0,19.0,19.0,29.166666666666668,14.333333333333334,19.0,1.0,32.833333333333336,22.5,4.333333333333333,3277.0,79.63433433333334,5.333333333333333,599.8333333333334,58.0,3.0,,,,,,1748918100.0,3.5,3.5,3.0,3.8333333333333335,3.8333333333333335,3.0,31.33333333333333,21.33333333333333,64.24633333333334,36.785393,-119.77306616666668
4,2025-06-03 03:30:00,216.0,2.0,2.0,2.833333333333333,3.0,776.0,191.16666666666663,1019.8333333333334,29.166666666666668,20.0,1.8333333333333333,20.5,20.5,27.33333333333333,17.0,20.5,1.0,30.5,26.0,11.666666666666666,3277.0,62.28583383333333,5.333333333333333,600.0,58.0,3.0,,,,,,1748921700.0,3.5,3.5,3.0,3.8333333333333335,3.8333333333333335,3.0,29.5,24.5,57.967666666666666,36.78540866666666,-119.77309283333334
5,2025-06-03 04:30:00,276.0,2.833333333333333,2.833333333333333,3.0,3.8333333333333335,851.3333333333334,216.33333333333331,1128.1666666666667,32.833333333333336,22.5,2.1666666666666665,22.83333333333333,23.0,26.0,22.666666666666668,23.0,1.0,28.666666666666668,32.166666666666664,37.0,3277.0,68.5259995,8.166666666666666,600.0,58.0,3.0,,,,,,1748925300.0,4.166666666666667,4.166666666666667,3.1666666666666665,4.833333333333333,4.833333333333333,3.8333333333333335,28.33333333333333,30.83333333333333,49.72916666666666,36.78540433333333,-119.77310066666666
6,2025-06-03 05:30:00,336.0,3.333333333333333,3.333333333333333,3.5,4.5,1066.5,261.3333333333333,1251.5,40.5,26.0,3.0,26.666666666666668,26.666666666666668,24.666666666666668,28.5,26.666666666666668,1.0,27.166666666666668,38.5,75.83333333333333,3277.0,70.6571655,7.166666666666667,600.0,58.0,3.0,,,,,,1748928900.0,5.666666666666667,5.666666666666667,4.166666666666667,6.0,6.0,4.666666666666667,26.666666666666668,37.16666666666666,43.645,36.7854195,-119.77311083333332
7,2025-06-03 06:30:00,396.0,4.0,4.0,3.8333333333333335,5.0,1078.1666666666667,267.3333333333333,1386.5,42.333333333333336,27.166666666666668,2.833333333333333,27.83333333333333,28.166666666666668,23.5,34.0,28.166666666666668,1.0,25.5,44.5,93.66666666666669,3277.0,56.57833366666667,7.0,600.0,58.0,3.0,,,,,,1748932500.0,6.166666666666667,6.166666666666667,4.666666666666667,6.5,6.5,5.666666666666667,25.0,44.0,39.86233333333333,36.78535466666667,-119.77320199999998
8,2025-06-03 07:30:00,456.0,4.333333333333333,4.333333333333333,3.5,5.166666666666667,1053.0,268.0,1518.8333333333333,42.833333333333336,26.5,3.1666666666666665,27.33333333333333,27.5,21.666666666666668,39.333333333333336,27.5,1.0,23.33333333333333,50.333333333333336,211.66666666666663,3277.0,70.81133383333334,5.5,600.0,58.0,3.0,,,,,,1748936100.0,6.5,6.5,4.666666666666667,7.166666666666667,7.166666666666667,5.833333333333333,22.666666666666668,51.16666666666666,25.008,36.785461,-119.77319566666668
9,2025-06-03 08:30:00,516.0,3.5,3.5,3.0,4.5,895.6666666666666,230.66666666666663,1639.0,37.0,23.33333333333333,2.5,24.0,24.0,20.166666666666668,41.333333333333336,24.0,1.0,21.666666666666668,52.16666666666666,161.16666666666666,3277.0,78.24066683333334,7.5,600.0,58.0,3.0,,,,,,1748939700.0,5.5,5.5,4.0,6.0,6.0,5.0,21.33333333333333,51.833333333333336,29.15883333333333,36.78542816666667,-119.77312716666668
