range,m_PM25_CF1,rh_pms,m_PM1_CF1,temp_minus_dew_point,pm_rh_interaction,intercept
10 and under,0.3215558535475175,-0.08455492842147738,0.17442252302723368,-0.12210147825600902,0.0002648588150153064,7.4578445534613795
10+,0.4128542111559951,-0.07821056672744198,0.2633912009633485,-0.07078794148948624,-0.0026430166431123505,4.03900306786818
