range,m_PM25_CF1,rh_pms,m_PM1_CF1,temp_minus_dew_point,pm_rh_interaction,intercept
10 and under,0.26784636716245286,-0.05474222337165804,0.3192439889072887,-0.05171873027720582,0.000635657934085423,5.283433632670006
10+,0.4764667905383094,-0.13133389441115187,0.23070503361769482,-0.3762585170639612,-0.0035826492829931305,10.716481060873603
