range,m_PM25_CF1,rh_pms,m_PM1_CF1,temp_minus_dew_point,pm_rh_interaction,intercept
10 and under,0.16861395170902654,0.0045725860476877244,0.0,-0.0,0.0009570313896410183,1.0785901188145264
10+,0.7629925604638182,-0.1177805952405839,-0.09960557895938213,-0.580265180305527,-0.004439232685771846,7.771712217360239
