range,m_PM25_CF1,rh_pms,m_PM1_CF1,temp_minus_dew_point,pm_rh_interaction,intercept
10 and under,0.4497049278595195,-0.1362221528509123,0.33434030678382926,-0.2600037996531063,-0.002521667364268566,11.957604726899273
10+,0.6637491019482933,-0.22615669394147625,-0.1490505654539398,-0.41068357998618377,-0.002287490386980169,14.822808183478603
