range,m_PM25_CF1,rh_pms,m_PM1_CF1,temp_minus_dew_point,pm_rh_interaction,intercept
10 and under,0.3933102734447291,-0.1255923300637214,0.14936344970943946,-0.20453314539372114,8.778969775399461e-05,10.49966088863551
10+,0.4575085749468182,-0.2701176997405353,0.0,-0.34351442560877604,-0.0005300938719936466,18.162027370322164
