range,m_PM25_CF1,rh_pms,m_PM1_CF1,temp_minus_dew_point,pm_rh_interaction,intercept
10 and under,0.26523343194600424,0.09283104874980323,0.03327269428602514,0.3583509145534926,-0.0030679997934417104,-5.227368859505359
10+,0.7576566164067828,-0.015578033081796491,-0.24914682038145614,0.09557881004117193,-0.004946335601830638,0.6117543134940551
